Name,BSE Code,NSE Code,Industry,Current Price,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Agro Phos India,,AGROPHOS,Fertilizers,45.99,25.91,0.83,0.19,1.02,0.39,0.63,0.66,-0.03,0.21,-0.24,0.00,-0.24,3.20,-0.93,20.27,-0.12,93.24
Agro Tech Foods.,500215,ATFL,Food - Processing - Indian,883.75,187.34,11.44,1.17,12.61,5.23,7.38,1.20,6.18,1.64,4.54,0.00,4.54,6.11,2.42,,1.86,2153.70
AGS Transact,543451,AGSTRA,Computers - Hardware,84.59,371.17,83.24,8.20,91.44,53.73,37.71,36.71,1.00,0.36,0.64,0.00,0.64,22.43,0.17,,0.05,1034.14
Ahasolar Technol,543941,,Trading,432.30,11.03,1.51,,,,,,,,,,1.43,,,,6.32,133.25
Ahimsa Industrie,,AHIMSA,Plastics Products,27.60,8.63,-0.03,,,,,,,,,,-0.48,,,,-0.88,15.11
Ahlada Engineers,,AHLADA,Steel - Medium / Small,112.14,49.54,10.06,0.07,10.13,3.31,6.82,0.91,5.91,2.78,3.14,0.00,3.14,20.31,6.34,12.92,2.43,144.90
Ahluwalia Contr.,532811,AHLUCONT,Construction,1357.05,863.05,110.20,8.91,119.11,10.25,108.86,11.19,97.67,25.51,72.16,0.00,72.16,12.77,8.36,13.40,10.77,9090.55
Ahm. Steelcraft,522273,,Trading,165.35,0.59,-0.29,0.44,0.15,0.04,0.11,0.00,0.11,0.01,0.10,0.00,0.10,-49.15,16.95,4.09,0.24,67.63
AI Champ.Inds.,532806,,Textiles - Jute - Yarn / Products,52.53,16.55,-33.74,53.82,20.08,0.58,19.50,1.86,17.64,-3.18,20.80,0.00,20.83,-203.87,125.86,15.38,6.76,161.55
AIA Engineering,532683,AIAENG,Castings & Forgings,4499.05,1273.57,315.74,63.81,379.55,23.25,356.30,9.89,346.41,78.75,267.66,0.00,267.66,24.79,21.02,18.86,28.43,42435.21
Aik Pipes & Poly,544072,,Plastics Products,160.00,,,,,,,,,,,,,,,,,101.81
Aimco Pesticides,524288,,Pesticides / Agrochemicals - Indian,97.35,41.57,-3.85,0.09,-3.76,0.95,-4.71,1.67,-6.38,-1.63,-4.75,0.00,-4.75,-9.26,-11.43,9.58,-4.96,93.29
Aimtron,,AIMTRON,Electronics - Components,512.50,,,,,,,,,,,,,,,,,1046.21
Aion-Tech Soluti,531439,GOLDTECH,Computers - Software - Medium / Small,133.73,26.39,-0.21,0.29,0.08,0.45,-0.37,0.26,-0.63,0.09,-0.72,0.00,-0.72,-0.80,-2.73,34.58,-0.21,462.47
Airan,543811,AIRAN,Computers - Software - Medium / Small,29.38,25.70,5.07,0.36,5.43,1.41,4.02,0.13,3.89,1.03,2.80,0.00,2.86,19.73,11.13,25.00,0.22,367.31
Airo Lam,,AIROLAM,Miscellaneous,128.63,48.64,5.42,0.17,5.59,0.84,4.75,1.12,3.63,1.00,2.64,0.00,2.64,11.14,5.43,,1.76,192.97
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals - Indian - Formulations,2828.50,1021.04,271.32,31.75,303.07,33.18,269.89,0.85,269.04,60.92,208.12,0.00,208.12,26.57,20.38,,16.53,35615.81
Ajanta Soya,519216,,Miscellaneous,30.83,277.66,0.63,0.54,1.17,0.29,0.88,0.90,-0.02,0.33,-0.36,0.00,-0.36,0.23,-0.13,16.10,-0.04,248.13
Ajcon Global,511692,,Finance & Investments,43.40,2.33,-0.03,-0.01,-0.04,0.10,-0.14,0.20,-0.34,-0.08,-0.24,0.00,-0.26,-1.29,-11.16,6.12,-0.39,26.56
Ajel,530713,,Computers - Software - Converts,22.87,1.63,-0.05,0.00,-0.05,0.00,-0.05,0.01,-0.06,0.00,-0.06,0.00,-0.06,-3.07,-3.68,,-0.05,26.64
Ajmera Realty,513349,AJMERA,Construction,718.20,114.25,31.02,3.55,34.57,0.45,34.12,14.69,19.43,4.64,14.79,0.00,14.79,27.15,12.95,35.48,4.26,2548.17
Ajooni Biotech,,AJOONI,Food - Processing - Indian,7.68,41.26,0.94,0.26,1.20,0.24,0.96,0.12,0.84,0.30,0.54,0.00,0.54,2.28,1.31,,0.03,132.28
Ajwa Fun World,526628,,Recreation / Amusement Parks,37.45,0.78,0.13,0.00,0.13,0.05,0.08,0.03,0.05,0.00,0.05,0.00,0.05,16.67,6.41,6.39,0.08,23.93
Akanksha Power,,AKANKSHA,Electric Equipment,122.25,,,,,,,,,,,,,,,,,226.39
Akar Auto Indust,530621,,Auto Ancillaries,112.15,101.68,6.80,0.05,6.85,1.05,5.80,3.29,2.51,-0.28,2.79,0.00,2.79,6.69,2.74,5.39,2.59,120.99
Akash InfraProj.,,AKASH,Construction,37.21,13.29,1.89,0.15,2.04,0.27,1.77,1.67,0.10,0.10,0.01,0.00,0.01,14.22,0.08,16.86,0.01,62.75
AKG Exim,,AKG,Trading,21.66,58.20,1.28,0.36,1.64,0.12,1.52,0.30,1.22,0.26,0.97,0.00,0.97,2.20,1.67,10.59,0.31,68.83
AKI India,542020,AKI,Leather / Leather Products,23.31,14.52,0.86,0.50,1.36,0.48,0.88,0.67,0.21,-0.02,0.23,0.00,0.23,5.92,1.58,10.30,0.03,199.92
Akiko,,AKIKO,Finance & Investments,75.30,,,,,,,,,,,,,,,,,81.10
Akme Fintrade,544200,AFIL,Finance & Investments,113.26,16.43,10.62,0.00,10.62,0.12,10.50,6.42,4.08,1.06,3.01,0.00,3.01,64.64,18.32,,0.95,483.34
Aksh Optifibre,532351,AKSHOPTFBR,Cables - Telephone,8.93,79.57,12.54,-13.01,13.14,6.21,6.93,4.44,-11.12,2.31,-2.89,-13.61,-13.44,15.76,-3.63,81.35,-0.83,145.29
Akshar Spintex,541303,AKSHAR,Textiles - Cotton/Blended,2.42,38.45,1.76,0.87,2.63,1.07,1.56,0.30,1.26,0.36,0.90,0.00,0.90,4.58,2.34,,0.03,72.60
AksharChem (I),524598,AKSHARCHEM,Dyes And Pigments,366.05,71.68,-0.67,0.04,-0.63,3.35,-3.98,0.80,-4.78,0.60,-5.38,0.00,-5.38,-0.93,-7.51,,-6.70,294.05
Akzo Nobel,500710,AKZOINDIA,Paints / Varnishes,3117.50,999.20,162.10,8.20,170.30,19.30,151.00,3.40,147.60,37.70,109.90,0.00,109.90,16.22,11.00,,24.13,14197.19
Alacrity Sec.,535916,,Finance & Investments,100.04,91.41,2.77,0.42,-1.18,0.11,-1.29,0.38,-1.67,-0.01,-1.65,0.00,1.56,-3.86,-3.99,,0.74,241.70
Alan Scott Inds.,539115,,Textiles - Products,65.50,1.22,-0.04,-0.05,0.05,0.37,-0.32,0.21,-0.67,0.00,-0.46,-0.14,-0.67,-3.28,-43.44,1.83,-1.57,23.79
Alankit,531082,ALANKIT,Computers - Software - Medium / Small,26.30,48.62,5.36,2.45,7.81,1.94,5.87,0.25,5.62,0.77,4.73,0.00,4.85,11.02,9.98,,0.21,713.15
Albert David,524075,ALBERTDAVD,Pharmaceuticals - Indian - Bulk Drugs & Formln,1260.90,81.42,9.59,0.01,9.60,2.30,7.30,0.11,7.19,3.46,3.73,0.00,3.73,11.78,4.58,5.71,6.54,719.97
Alchemist Corp.,531409,,Trading,12.25,0.00,-0.09,0.00,-0.09,0.00,-0.09,0.00,-0.09,0.00,-0.09,0.00,-0.09,,,4.91,-0.18,6.01
Alembic,506235,ALEMBICLTD,Construction,146.80,37.12,13.44,-8.57,15.48,1.70,13.78,0.13,3.04,-1.66,58.86,-10.61,48.25,36.21,158.57,51.36,1.88,3769.56
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,1245.05,1406.45,203.77,0.89,204.66,74.12,130.54,14.37,116.17,-36.43,152.60,0.00,152.60,14.49,10.85,39.31,7.76,24473.09
Alexander Stamps,511463,,Trading,14.94,0.15,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01,6.67,6.67,9.31,0.01,13.91
Alfa Ica (I),530973,,Miscellaneous,72.50,13.83,0.99,0.15,1.14,0.27,0.87,0.35,0.52,0.13,0.39,0.00,0.39,7.16,2.82,4.04,0.97,29.29
Alfa Transformer,517546,,Electric Equipment,94.26,7.24,0.44,0.24,0.68,0.27,0.41,0.35,0.06,-0.15,0.20,0.00,0.20,6.08,2.76,9.15,0.22,86.25
Alfavision Overs,531156,,Miscellaneous,17.44,-0.58,-0.61,0.00,-0.61,0.02,-0.63,0.43,-1.06,0.00,-1.06,0.00,-1.06,,,3.15,-0.34,54.98
Alfred Herbert,505216,,Finance & Investments,1500.00,0.44,0.01,0.78,0.79,0.04,0.75,0.01,0.74,-0.04,0.78,0.00,0.78,2.27,177.27,0.77,10.11,115.50
Algoquant Fin,505725,,Finance & Investments,1199.45,0.28,-9.53,-0.14,-9.02,0.07,-9.09,1.07,-10.81,-4.08,-6.09,-0.65,-6.74,-3403.57,-2175.00,1.61,-8.39,963.88
Alicon Cast.,531147,ALICON,Castings & Forgings,1306.25,319.25,31.72,1.42,33.14,16.69,16.45,8.56,7.89,-1.81,9.70,0.00,9.70,9.94,3.04,8.06,6.02,2124.20
Alkali Metals,533029,ALKALI,Chemicals,126.29,17.05,1.77,0.08,1.85,1.13,0.72,0.61,0.11,0.00,0.11,0.00,0.11,10.38,0.65,,0.11,128.56
Alkem Lab,539523,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,5295.75,2902.60,353.25,-34.31,421.92,78.32,343.60,28.96,211.66,143.98,100.61,-102.98,67.68,12.17,3.47,23.91,5.94,63318.63
Alkosign,543453,,Printing & Stationery,125.00,12.27,1.89,,,,,,,,,,0.18,,,,0.33,89.94
Alkyl Amines,506767,ALKYLAMINE,Chemicals,2137.15,409.79,73.98,5.48,79.46,12.18,67.28,0.89,66.39,16.62,49.77,0.00,49.77,18.05,12.15,,9.74,10927.47
All E Tech,,ALLETEC,Computers - Software - Medium / Small,364.30,27.03,3.86,1.71,5.57,0.23,5.34,0.00,5.34,1.29,4.05,0.00,4.05,14.28,14.98,,2.01,735.67
Allcargo Gati,532345,ACLGATI,Trading,98.02,426.19,16.54,2.18,18.72,15.47,3.25,7.16,-3.91,-1.16,-1.67,0.00,-2.75,3.88,-0.65,,-0.13,1441.05
Allcargo Logist.,532749,ALLCARGO,Miscellaneous,64.07,3395.10,140.27,21.94,160.57,80.67,79.90,18.95,62.59,10.69,50.54,1.64,51.90,4.13,1.49,49.14,0.63,6296.68
Allcargo Termi,543954,ATL,Miscellaneous,51.25,180.69,28.99,2.01,30.92,13.35,17.57,7.07,10.58,1.58,8.95,0.08,9.00,16.04,4.95,,0.37,1259.19
Alliance Integ.,534064,,Steel - Medium / Small,25.11,13.09,-0.58,108.23,-0.49,6.94,-7.43,33.69,67.02,0.00,-41.11,108.14,67.03,-4.43,-314.06,11.61,1.92,991.72
Allied Blenders,544203,ABDL,Breweries & Distilleries,301.05,770.92,49.59,0.66,50.25,13.73,36.52,36.67,-0.15,1.13,-1.28,0.00,-1.28,6.43,-0.17,,-0.05,8420.67
Allied Digital,532875,ADSL,Computers - Software - Medium / Small,213.47,169.00,17.84,0.15,17.99,4.08,13.91,1.41,12.50,3.92,8.59,0.00,8.59,10.56,5.08,,1.56,1183.31
Allsec Tech.,532633,ALLSEC,Computers - Software - Medium / Small,1051.80,107.51,24.53,2.05,26.58,6.95,19.63,0.86,18.77,3.00,15.77,0.00,15.77,22.82,14.67,,10.35,1602.94
Almondz Global,531400,ALMONDZ,Finance & Investments,36.47,26.63,2.91,3.87,6.78,0.60,6.18,1.44,4.74,0.71,4.03,0.00,4.03,10.93,15.13,15.53,0.26,605.79
Alok Industries,521070,ALOKINDS,Textiles - Processing,26.19,1414.91,12.05,5.41,17.46,89.74,-72.28,153.86,-226.14,0.00,-226.14,0.00,-226.14,0.85,-15.98,,-0.46,13003.96
Alpa Laboratorie,532878,ALPA,Pharmaceuticals - Indian - Formulations,93.57,29.16,9.22,-0.69,8.53,0.53,8.00,0.04,7.96,3.31,4.65,0.00,4.65,31.62,15.95,21.04,2.21,196.87
Alpex Solar,,ALPEXSOLAR,Electric Equipment,724.00,,,,,,,,,,,,,,,,,1771.87
Alphageo (India),526397,ALPHAGEO,Miscellaneous,467.45,14.12,1.06,1.46,2.52,3.76,-1.24,0.07,-1.31,-0.28,-1.03,0.00,-1.03,7.51,-7.29,6.38,-1.62,297.52
Alphalogic Indu,543937,,Engineering,270.00,11.86,2.14,,,,,,,,,,1.49,,,,24.83,275.11
Alphalogic Tech.,542770,,Computers - Software - Medium / Small,214.60,8.61,1.83,0.10,1.93,0.02,1.91,0.16,1.75,0.45,1.30,0.00,1.30,21.25,15.10,11.29,0.22,1298.78
Alpine Housing,526519,,Construction,138.65,18.36,2.44,0.00,2.44,0.19,2.25,0.45,1.80,0.32,1.48,0.00,1.48,13.29,8.06,,0.85,240.17
Alps Industries,530715,ALPSINDUS,Textiles - Products,3.37,1.52,-4.26,0.16,-4.10,0.00,-4.10,13.95,-18.05,0.00,-18.05,0.00,-18.05,-280.26,-1187.50,39.11,-4.61,13.18
Alstone Textiles,539277,,Trading,0.81,0.00,-1.09,5.00,3.91,0.00,3.91,0.00,3.91,0.00,3.90,0.00,3.90,,,12.75,0.03,103.26
Alufluoride,524634,,Chemicals,491.55,36.84,8.11,0.37,8.47,1.96,6.51,0.77,5.75,1.58,4.16,0.01,4.17,22.01,11.29,7.82,5.33,384.42
Aluwind,,ALUWIND,Construction,58.10,28.79,1.47,,,,,,,,,,0.62,,,,2.45,144.36
Amal,506597,,Chemicals,353.95,16.81,0.09,0.02,0.11,2.21,-2.10,0.96,-3.06,-0.41,-2.65,0.00,-2.65,0.54,-15.76,,-2.14,437.58
Amalgamated Elec,501622,,Miscellaneous,50.47,0.00,-0.02,0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,1.39,-0.04,14.01
Amanaya Ventures,543804,,Trading,19.00,5.21,0.06,,,,,,,,,,0.04,,,,0.11,7.10
Amara Raja Ener.,500008,ARE&M,Auto Ancillaries,1612.35,2770.70,368.92,21.77,390.69,116.82,273.87,7.63,266.24,67.59,198.65,0.00,198.65,13.32,7.17,,11.63,29510.09
Amarjothi Spg.,521097,,Textiles - Cotton/Blended,261.10,48.16,5.57,0.22,5.79,2.19,3.60,1.77,1.83,0.37,1.46,0.00,1.46,11.57,3.03,,2.16,176.24
Amarnath Sec.,538465,,Finance & Investments,47.46,0.10,0.05,0.00,0.05,0.00,0.05,0.01,0.04,0.00,0.04,0.00,0.04,50.00,40.00,3.00,0.13,14.24
Amba Enterprises,539196,,Electric Equipment,231.05,66.68,2.45,0.01,2.46,0.15,2.31,0.07,2.24,0.53,1.71,0.00,1.71,3.67,2.56,6.33,1.35,292.52
Ambalal Sarabhai,500009,,Trading,69.05,44.44,3.35,5.71,9.06,0.92,8.14,0.99,7.15,1.44,5.71,0.00,5.71,7.54,12.85,76.63,0.75,529.15
Ambani Orgochem,,AMBANIORGO,Chemicals,100.00,66.06,4.95,,,,,,,,,,1.11,,,,1.73,70.59
Ambar Protein,519471,,Solvent Extraction,144.20,90.00,0.83,0.14,0.97,0.31,0.66,0.60,0.06,0.07,-0.02,0.00,-0.02,0.92,-0.02,5.75,-0.03,82.92
Ambassador Intra,542524,,Trading,31.50,0.20,-0.10,0.06,-0.04,0.00,-0.04,0.00,-0.04,-0.01,-0.03,0.00,-0.03,-50.00,-15.00,2.09,-0.14,6.59
Amber Enterp.,540902,AMBER,Electronics - Components,4389.50,1701.99,131.92,19.31,151.23,43.29,107.94,45.26,62.68,16.08,45.64,0.00,46.61,7.75,2.74,,13.55,14789.86
Ambey,,AMBEY,Chemicals,67.20,,,,,,,,,,,,,,,,,167.64
Ambica Agarbat.,532335,AMBICAAGAR,Chemicals,26.23,35.16,3.23,1.88,5.11,-0.60,5.71,2.51,3.20,1.43,1.78,0.00,1.78,9.19,5.06,17.18,1.04,45.06
Ambika Cotton,531978,AMBIKCO,Textiles - Cotton/Blended,1994.10,186.22,31.29,4.06,35.35,7.49,27.86,3.01,24.85,6.72,18.13,0.00,18.13,16.80,9.74,5.72,31.67,1141.62
Ambition Mica,539223,,Miscellaneous,2.84,2.85,-3.80,0.01,-3.79,0.16,-3.95,0.14,-4.09,0.44,-4.53,0.00,-4.53,-133.33,-158.95,,-3.04,4.24
Ambitious Plasto,526439,,Trading,8.25,0.00,-0.04,0.00,-0.04,0.00,-0.04,0.00,-0.04,0.00,-0.04,0.00,-0.04,,,5.81,-0.07,4.79
Ambo Agritec,543678,,Solvent Extraction,75.16,,,,,,,,,,,,,,,,,70.61
Ambuja Cements,500425,AMBUJACEM,Cement - North India,652.80,8712.90,1666.95,268.50,1935.45,371.72,1563.73,52.07,1511.66,376.20,905.61,0.00,1135.46,19.13,13.03,,4.56,160792.70
Amco India,530133,,Aluminium and Aluminium Products,60.37,33.53,-0.25,0.67,0.42,0.22,0.20,0.46,-0.26,0.00,-0.25,0.00,-0.25,-0.75,-0.75,4.11,-0.61,24.81
AMD Industries,532828,AMDIND,Packaging,70.84,113.83,18.25,0.14,18.39,3.70,14.69,3.80,10.89,2.87,8.01,0.00,8.01,16.03,7.04,19.17,4.18,135.80
Amerise BioScie,531681,,Finance & Investments,0.70,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,,,6.61,0.00,4.62
Ameya Precision,,AMEYA,Engineering,126.10,15.36,1.65,0.03,0.80,0.20,0.60,0.02,0.58,0.00,0.58,0.00,1.15,11.61,8.75,,1.53,94.58
Amforge Inds.,513117,,Finance & Investments,11.70,0.00,-0.38,0.78,0.40,0.08,0.32,0.04,0.28,0.00,0.28,0.00,0.28,,,2.88,0.19,16.83
Ami Organics,543349,AMIORG,Pharmaceuticals - Indian - Bulk Drugs,1333.15,186.38,40.85,-0.17,40.68,3.43,37.25,0.59,36.66,9.47,27.20,0.00,27.20,21.92,14.59,36.44,7.46,5453.32
Amiable Logistic,,AMIABLE,Miscellaneous,81.50,16.03,0.32,0.11,0.38,0.04,0.34,0.00,0.34,0.06,0.28,0.00,0.43,2.92,3.03,1.21,2.46,14.25
Amic Forging,544037,,Castings & Forgings,1664.45,,,,,,,,,,,,,,,,,1745.74
Amin Tannery,541771,,Leather / Leather Products,2.42,14.80,0.91,0.00,0.91,0.21,0.70,0.49,0.21,0.07,0.14,0.00,0.14,6.15,0.95,10.80,0.01,26.13
Amines & Plast.,506248,AMNPLST,Chemicals,325.25,166.88,13.87,1.04,14.91,1.21,13.70,2.51,11.19,2.64,8.55,0.00,8.55,8.31,5.12,11.00,1.55,1789.53
Amit Internation,531300,,Trading,4.63,0.00,-0.05,0.30,0.25,0.00,0.25,0.00,0.25,0.01,0.24,0.00,0.24,,,18.95,0.13,8.77
AMJ Land Holdin.,500343,AMJLAND,Construction,55.81,13.43,2.93,0.65,3.58,0.48,3.10,0.32,2.78,1.12,1.56,0.00,1.66,21.82,12.36,8.20,0.38,228.82
Amkay Products,544169,,Healthcare,80.00,,,,,,,,,,,,,,,,,69.25
Amrapali Inds.,526241,,Trading,16.91,3640.41,1.30,2.77,4.07,0.60,3.47,3.66,-0.19,-0.01,-0.18,0.00,-0.18,0.04,0.00,,-0.04,86.94
Amraworld Agrico,531991,,Trading,1.13,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,12.03,0.00,13.59
Amrutanjan Healt,590006,AMRUTANJAN,Pharmaceuticals - Indian - Formulations,760.30,100.32,12.98,4.82,17.80,1.31,16.49,0.02,16.47,3.78,12.70,0.00,12.70,12.94,12.66,2.92,4.34,2198.08
Anand Rathi Wea.,543415,ANANDRATHI,Finance & Investments,3712.25,175.03,73.36,3.41,76.77,4.51,72.26,1.37,70.89,17.66,53.06,0.00,53.23,41.91,30.41,,12.73,15527.71
Anand Rayons,542721,,Trading,48.61,85.73,2.63,0.05,2.68,0.04,2.64,0.70,1.94,0.00,1.94,0.00,1.94,3.07,2.26,14.98,1.29,72.84
Anant Raj,515055,ANANTRAJ,Construction,521.50,316.16,59.52,9.61,69.13,4.19,64.94,7.47,57.47,9.22,50.12,0.00,50.12,18.83,15.85,,1.56,17829.60
Andhra Cements,532141,ACL,Cement - South India,98.28,13.20,-10.97,0.36,-10.61,12.87,-23.48,14.14,-37.62,-12.96,-24.66,0.00,-24.66,-83.11,-186.82,,-2.68,905.87
Andhra Paper,502330,ANDHRAPAP,Paper,576.70,590.16,228.62,-1.63,242.37,15.73,226.64,3.40,207.86,53.95,164.96,-15.38,153.90,38.74,27.95,39.77,38.70,2293.54
Andhra Petrochem,500012,,Chemicals,107.45,190.67,1.47,5.87,7.34,3.68,3.66,2.17,1.49,0.30,1.18,0.00,1.18,0.77,0.62,,0.14,913.00
Andhra Sugars,590062,ANDHRSUGAR,Chlor Alkali / Soda Ash,115.30,539.00,53.26,8.41,64.05,17.11,46.94,0.65,43.91,10.16,34.04,-2.38,33.74,9.88,6.60,27.11,2.38,1562.72
Andrew Yule & Co,526173,,Diversified - Medium / Small,61.65,81.14,-16.41,9.03,-6.16,1.97,-8.13,2.86,-12.21,-1.54,-4.64,-1.22,-5.86,-20.22,-5.72,97.79,-0.12,3014.38
Aneri Fincap,531252,,Finance & Investments,6.15,1.50,-8.92,0.00,-8.92,0.00,-8.92,0.00,-8.92,0.00,-8.92,0.00,-8.92,-594.67,-594.67,3.01,-29.60,1.85
ANG Lifesciences,540694,,Pharmaceuticals - Indian - Bulk Drugs & Formln,51.15,31.88,-11.60,9.20,-2.40,2.82,-5.22,1.11,-6.33,-1.30,-5.03,0.00,-5.03,-36.39,-15.78,10.37,-3.85,66.79
Angel Fibers,541006,,Textiles - Products,25.40,63.69,7.69,1.29,17.62,5.79,11.83,2.83,9.00,-1.74,10.74,0.00,2.49,16.70,10.98,25.00,1.00,63.50
Angel One,543235,ANGELONE,Finance & Investments,2244.75,807.51,320.39,3.55,323.96,8.93,315.03,18.32,296.69,75.87,220.83,-0.02,220.81,39.68,27.35,,26.34,20222.52
ANI Integrated,,AISL,Miscellaneous,147.00,43.36,2.72,-0.01,2.73,0.11,2.62,0.41,2.19,0.36,1.85,-0.02,1.83,6.27,4.27,9.69,1.89,142.40
Anik Industries,519383,ANIKINDS,Construction,70.94,15.83,0.00,1.71,1.71,0.27,1.44,1.44,0.00,0.03,-0.04,0.00,-0.04,0.00,-0.25,27.75,-0.01,196.86
Anjani Finance,531878,,Finance & Investments,11.31,-0.15,-0.11,0.06,-0.05,0.00,-0.05,0.12,-0.17,0.01,3.30,0.00,3.30,,,10.14,3.25,11.47
Anjani Foods,511153,,Food - Processing - Indian,41.50,11.22,0.78,0.00,0.78,0.40,0.38,0.17,0.21,0.05,0.16,0.00,0.16,6.95,1.43,5.59,0.08,115.99
Anjani Portland,518091,APCL,Cement - South India,193.62,132.95,2.05,0.73,2.78,13.40,-10.62,7.69,-18.31,-1.41,-16.75,0.00,-16.90,1.54,-12.71,25.29,-5.70,568.75
Anjani Synth.,531223,,Textiles - Processing,41.22,81.46,2.59,0.64,3.23,0.68,2.55,1.01,1.54,0.35,1.18,0.00,1.18,3.18,1.45,14.75,0.80,60.80
Anka India,531673,,Computers - Software - Medium / Small,13.31,0.00,-0.09,0.05,-0.04,0.00,-0.04,0.00,-0.04,0.00,-0.04,0.00,-0.04,,,6.27,-0.05,11.63
Ankit Met.Power,532870,ANKITMETAL,Steel - Medium / Small,4.52,197.17,-33.71,0.02,-33.69,9.44,-43.13,0.02,-43.15,0.00,-43.15,0.00,-43.15,-17.10,-21.88,,-3.06,63.78
Anlon Tech,,ANLON,Miscellaneous,506.00,19.69,3.53,0.18,2.40,0.05,2.35,0.47,1.88,0.62,1.25,0.00,2.05,23.32,13.13,0.01,3.66,316.52
Anmol India,542437,ANMOL,Trading,33.01,370.13,7.30,2.35,9.65,0.13,9.52,3.50,6.02,1.59,4.43,0.00,4.43,1.97,1.20,11.38,0.78,187.87
Anna Infrastruct,530799,,Construction,38.78,0.29,0.13,0.02,0.15,0.03,0.12,0.00,0.12,0.02,0.09,0.00,0.09,44.83,31.03,3.80,0.24,14.74
Annapurna Swadi.,,ANNAPURNA,Food - Processing - Indian,337.00,94.56,8.21,,,,,,,,,,4.27,,,,2.60,592.78
ANS Industries,531406,,Food - Processing - Indian,10.41,0.00,-0.39,0.24,-0.15,0.44,-0.59,0.01,-0.60,-0.25,-0.35,0.00,-0.35,,,9.26,-0.38,9.64
Ansal Buildwell,523007,,Construction,168.85,4.56,2.00,0.98,2.98,-0.82,3.80,1.15,2.65,2.29,-1.10,0.00,-1.10,43.86,-24.12,7.38,-1.49,124.61
Ansal Housing,507828,,Construction,23.76,50.34,6.43,-0.27,14.73,0.42,14.31,14.85,-9.11,-1.93,1.39,-8.57,-7.18,12.77,2.76,59.39,-1.03,165.45
Ansal Properties,500013,ANSALAPI,Construction,10.02,296.48,-395.50,75.04,-318.98,4.32,-323.30,9.17,-333.95,-23.76,-308.71,-1.48,-310.19,-133.40,-104.13,78.70,-19.93,157.71
Antarctica,,ANTGRAPHIC,Packaging,1.56,0.21,0.10,0.00,0.10,0.03,0.07,0.00,0.07,0.00,0.08,0.00,0.08,47.62,38.10,15.50,0.01,24.18
Antony Waste han,543254,AWHCL,Miscellaneous,802.85,201.77,32.42,6.90,39.32,12.69,26.63,8.73,17.90,5.51,9.56,0.00,12.38,16.07,6.14,14.14,3.38,2278.66
Anuh Pharma,506260,,Pharmaceuticals - Indian - Bulk Drugs,236.40,157.31,14.23,1.04,15.27,2.41,12.86,0.02,12.84,3.22,9.62,0.00,9.62,9.05,6.12,25.06,1.92,1184.65
Anupam Finserv,530109,,Finance & Investments,2.08,0.69,0.48,0.00,0.48,0.11,0.37,0.08,0.29,0.11,0.17,0.00,0.17,69.57,24.64,11.56,0.01,24.05
Anupam Rasayan,543275,ANURAS,Chemicals,789.10,479.96,117.30,24.26,141.56,18.53,123.03,20.26,102.77,30.13,56.68,0.00,72.64,24.44,15.13,100.25,5.28,8667.06
Anuroop Packagin,542865,,Packaging,39.96,5.15,1.28,0.07,1.35,0.14,1.21,0.37,0.84,0.19,0.66,0.00,0.66,24.85,12.82,,0.62,42.61
Anzen IYEP Trust,543655,ANZEN,Power Generation And Supply,101.66,62.65,53.06,0.18,53.24,49.16,4.08,15.61,-11.53,-2.62,-8.92,0.00,-8.92,84.69,-14.24,,-0.56,1606.23
Apar Inds.,532259,APARINDS,Electric Equipment,8622.40,3767.09,346.12,13.86,359.98,27.23,332.75,69.60,263.15,65.72,197.43,0.00,197.43,9.19,5.24,,51.59,34634.73
Apcotex Industri,523694,APCOTEXIND,Miscellaneous,451.55,277.73,25.50,1.99,27.49,7.39,20.10,3.64,16.46,4.34,12.12,0.00,12.12,9.18,4.36,,2.34,2341.06
Apeejay Surrend.,544111,PARKHOTELS,Hotels,187.19,144.08,44.60,-0.74,43.86,16.37,27.49,12.41,15.08,4.39,10.60,0.00,10.69,30.96,7.42,,0.61,3994.15
Apex Frozen Food,540692,APEX,Aquaculture,284.20,211.86,7.65,-4.62,3.03,3.88,-0.85,2.06,-2.91,1.11,-4.02,0.00,-4.02,3.61,-1.90,31.25,-1.29,888.13
Apis India,506166,,Food - Processing - Indian,254.35,77.03,5.82,0.64,6.46,0.57,5.89,2.06,3.83,2.98,5.73,0.00,5.73,7.56,7.44,5.51,10.40,140.15
