Name,BSE Code,NSE Code,Industry,Current Price,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Aditya Vision,540205,,Trading,4448.15,641.23,63.30,1.37,64.67,6.31,58.36,9.03,49.33,11.91,37.42,0.00,37.42,9.87,5.84,,31.11,5723.13
Adjia Tech,543269,,Computers - Software - Medium / Small,45.10,0.14,0.12,,,,,,,,,,0.03,,,,0.34,3.97
Adline Chem Lab,524604,,Pharmaceuticals - Indian - Formulations,15.59,0.00,-0.08,0.00,-0.08,0.00,-0.08,0.00,-0.08,0.00,-0.08,0.00,-0.08,,,,-0.14,9.12
Ador Fontech,530431,,Electrodes - Welding Equipment,141.20,50.22,6.87,1.16,8.03,0.79,7.24,0.01,7.23,2.02,5.21,0.00,5.21,13.68,10.37,,1.49,494.20
Ador Multi Prod.,523120,,Personal Care - Indian,34.55,2.61,-2.33,0.04,-2.29,0.46,-2.75,0.06,-2.81,0.06,-2.88,0.00,-2.88,-89.27,-110.34,4.67,-6.16,16.15
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment,1433.45,189.63,16.07,3.02,19.09,3.34,15.75,0.71,15.04,3.80,11.24,0.00,11.24,8.47,5.93,,8.27,1949.49
Adroit Info.,532172,ADROITINFO,Computers - Software - Medium / Small,17.75,4.54,-1.72,0.08,-1.64,0.59,-2.23,0.17,-2.40,-0.54,-1.86,0.00,-1.86,-37.89,-40.97,18.27,-0.37,68.68
Advait Infratech,543230,,Construction,2007.40,40.86,6.08,0.58,6.66,0.92,5.74,1.00,4.74,1.23,3.50,0.00,3.50,14.88,8.57,,3.43,2049.08
Advance Lifes.,521048,,Textiles - Jute - Yarn / Products,44.17,1.51,0.00,0.80,0.80,0.00,0.80,0.57,0.23,0.00,0.23,0.00,0.23,0.00,15.23,,0.37,27.50
Advance Meter.,534612,,Electric Equipment,38.31,4.72,-2.35,1.09,-1.70,1.47,-3.17,0.26,-2.99,0.01,-3.44,0.44,-3.00,-49.79,-72.88,8.03,-1.87,61.53
Advance Petroch.,506947,,Chemicals,200.45,7.97,0.15,-0.03,0.12,0.43,-0.31,0.18,-0.49,-0.08,-0.41,0.00,-0.41,1.88,-5.14,0.90,-4.56,18.04
Advance Syntex,539982,,Textiles - Spinning - Synthetic / Blended,6.65,0.29,-0.32,0.28,-0.32,0.11,-0.43,0.00,-0.15,-0.02,-0.41,0.28,-0.13,-110.34,-141.38,,-0.12,7.38
Advanced Enzyme,540025,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,433.15,138.71,44.14,7.02,55.22,8.45,46.77,0.61,42.10,9.98,35.01,-4.06,32.11,31.82,25.24,22.36,2.87,4843.66
Advani Hotels.,523269,ADVANIHOTR,Hotels,77.35,30.44,14.61,0.54,15.15,0.70,14.45,0.05,14.40,3.46,10.93,0.00,10.93,48.00,35.91,9.24,1.18,715.01
Advik Capital,539773,,Finance & Investments,2.84,152.70,2.51,0.16,2.67,0.04,2.63,1.61,1.02,0.32,0.64,0.00,0.70,1.64,0.46,,0.01,121.60
Aegis Logistics,500003,AEGISLOG,Trading,735.35,2100.53,195.86,37.39,233.25,33.28,199.97,29.79,170.18,37.49,115.81,0.00,132.69,9.32,6.32,,3.30,25810.79
Aelea,544213,,Food - Processing - Indian,186.40,,,,,,,,,,,,,,,,,379.67
Aeonx Digital,524594,,Trading,128.00,7.77,-0.20,2.31,2.11,0.22,1.89,0.01,1.88,0.63,1.24,0.00,1.24,-2.57,15.96,4.60,2.70,58.88
Aeroflex,543972,AEROFLEX,Steel - Medium / Small,151.56,82.91,16.16,1.14,17.14,1.42,15.72,1.19,14.69,3.62,10.95,0.16,11.07,19.49,13.21,,0.97,1959.98
Aerpace Indus,534733,,Trading,44.88,,,,,,,,,,,,,,,,,613.39
Aether Industri.,543534,AETHER,Chemicals,905.70,161.11,44.73,2.64,47.37,9.23,38.14,1.17,36.97,6.78,30.20,0.00,30.20,27.76,18.74,,2.28,12005.08
Affle India,542752,AFFLE,Computers - Software - Medium / Small,1482.95,406.58,78.11,9.83,87.94,14.42,73.52,3.45,70.07,3.90,66.17,0.00,66.17,19.21,16.27,,4.97,20797.79
Affordable Robo.,541402,,Engineering,542.80,95.02,16.70,,,,,,,,,,13.03,,,,11.63,610.45
AFLOAT Enterpris,543377,,Trading,11.94,3.57,-0.08,,,,,,,,,,0.08,,,,0.18,5.44
Agarwal Float,,AGARWALFT,Trading,92.85,24.62,0.62,,,,,,,,,,0.05,,,,0.07,67.26
Agarwal Fortune,530765,,Trading,22.05,2.67,-0.06,0.00,-0.06,0.00,-0.06,0.00,-0.06,0.03,-0.08,0.00,-0.08,-2.25,-3.00,3.45,-0.23,7.74
Agarwal Indl.,531921,AGARIND,Petrochemicals,1217.55,659.54,42.55,0.64,43.19,6.28,36.91,3.61,33.30,5.00,28.30,0.00,28.30,6.45,4.29,13.21,18.92,1821.19
AGI Greenpac,500187,AGI,Packaging,767.60,558.47,131.56,8.47,140.03,36.78,103.25,17.93,85.32,21.83,63.49,0.00,63.49,23.56,11.37,,9.81,4966.17
AGI Infra,539042,AGIIL,Construction,857.05,66.36,12.50,2.49,14.99,2.01,12.98,1.20,11.78,-1.54,13.32,0.00,13.32,18.84,20.07,12.22,10.90,1047.03
Agio Paper,516020,,Paper,5.35,0.00,-0.09,0.00,-0.09,0.02,-0.11,0.22,-0.33,0.00,-0.33,0.00,-0.33,,,16.13,-0.20,8.63
Agni Green,,AGNI,Electric Equipment,45.20,17.36,2.72,,,,,,,,,,2.53,,,,1.30,88.30
Agri-Tech India,537292,AGRITECH,Miscellaneous,236.07,0.00,-0.19,0.02,-0.17,0.01,-0.18,0.00,-0.18,0.04,-0.21,0.00,-0.21,,,5.94,-0.35,140.23
