Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
Sanginita Chemi.,,SANGINITA,Chemicals,17.04,44.14,60.47,0.00,1.08,0.93,0.81,1.90,43.49,4.65,0.00,42.78,76.98,2.59,15.75,5.06,1.14,0.00,4.00,2.00,1.83,2.03,16515.00,43.49,3.66,63.63,3.90,,158.72,4.17,9.99,112.14,27.44,63.63,75.95,56.51,0.00,0.00,0.00,0.00,15.50,4.28,0.53,1.05,11320.00
Sanjiv.Parant.,531569,,Pharmaceuticals - Indian - Formulations,256.30,299.47,48.54,0.00,10.74,19.16,0.03,49.70,27.67,2.69,0.00,29.20,290.88,1.17,23.87,3.78,1.37,54.64,4.00,5.00,1.69,1.15,6166.00,27.67,25.66,31.53,3.76,,35.55,18.01,53.25,82.67,73.56,31.53,124.70,62.98,0.00,0.00,9.36,-0.35,-3.07,,23.00,,4911.00
Sanmit Infra,532435,,Trading,14.88,235.12,52.60,0.24,6.59,8.81,0.27,13.26,72.33,2.91,0.00,38.53,244.63,15.80,2.26,14.82,2.54,0.00,5.00,3.00,1.90,1.42,24016.00,72.33,11.63,131.38,3.35,,126.92,13.82,3.79,128.45,20.39,131.38,17.46,27.68,0.00,0.00,0.00,0.00,2.01,19.64,11.42,17.56,15462.00
Sanofi India,500674,SANOFI,Pharmaceuticals - Multinational,6567.00,15123.80,30.77,2.54,22.06,31.19,0.03,51.54,60.40,4.32,0.00,46.45,14885.70,2.30,297.65,2.27,0.81,81.47,6.00,4.00,1.51,1.86,67662.00,60.40,64.67,16.86,13.57,,24.99,47.24,1242.16,130.01,88.59,16.86,201.74,11.21,5.81,-0.30,22.60,-0.28,554.70,41.36,20.50,30.05,61849.00
Sanrhea Tech.,514280,,Textiles - Processing,189.80,94.90,18.25,0.53,4.43,15.48,0.28,27.22,71.52,7.61,0.00,22.45,100.46,0.50,42.84,3.70,1.21,5.76,8.00,5.00,2.03,1.57,3401.00,71.52,22.23,69.85,2.59,,101.34,21.99,100.12,134.33,37.38,69.85,101.87,28.48,0.00,0.00,0.00,0.00,33.58,19.24,7.37,16.91,3306.00
Sansera Enginee.,543358,SANSERA,Auto Ancillaries,1436.15,7754.97,41.75,0.17,5.71,7.14,0.66,14.77,34.78,3.88,0.00,38.32,8582.66,5.40,251.31,3.08,0.59,53.84,7.00,5.00,1.07,1.95,72028.00,34.78,11.26,60.01,3.96,,67.44,11.93,442.61,78.94,106.65,60.01,125.58,14.94,15.56,-6.55,34.67,6.11,220.66,14.17,6.32,13.32,75212.00
Sanstar,544217,SANSTAR,Miscellaneous,120.24,2191.30,33.20,0.00,,14.74,0.50,29.94,70.37,4.30,0.00,33.53,2313.78,18.22,,12.93,0.90,36.96,6.00,2.00,2.38,1.77,129019.00,70.37,18.92,40.19,3.44,,62.91,18.85,,48.17,42.40,40.19,50.37,18.52,3.29,,7.81,,,27.58,14.40,30.44,
Santosh Fin Fab,530035,,Textiles - Processing,33.20,11.70,,0.00,2.04,-6.76,0.84,-15.11,52.19,-4.40,0.00,22.45,15.67,0.35,16.29,0.93,0.66,0.49,3.00,1.00,0.93,2.42,1264.00,52.19,-6.87,91.39,2.59,,230.88,-5.34,,387.34,80.66,91.39,376.61,47.82,0.00,0.00,0.00,0.00,18.98,4.48,-0.07,-0.15,1273.00
Sanwaria Consum.,519260,SANWARIA,Food - Processing - Indian,0.39,28.71,,0.00,,-1.69,,,15.34,-0.70,0.00,41.69,927.51,73.61,-8.04,0.00,0.27,,3.00,0.00,0.00,-0.58,136673.00,15.34,-2.16,88940.61,3.84,,77826.87,-1.90,,88940.61,,88940.61,,84.67,0.00,0.00,0.00,0.00,-7.96,-2.03,-1.60,,137141.00
Sapphire Foods,543397,SAPPHIRE,Hotels,1678.15,10700.75,303.31,0.00,7.98,1.93,0.87,4.04,30.82,1.31,0.00,221.36,11697.09,6.38,210.21,10.17,0.60,0.00,4.00,3.00,0.96,2.03,51602.00,30.82,5.73,4.84,8.84,,-17.15,5.42,164.37,-55.35,103.90,4.84,43.71,6.21,31.53,1.58,31.46,-0.93,197.65,9.81,9.87,20.74,53150.00
