Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization
Nitco,532722,NITCO,Trading,80.45,-0.18,-11.36,-8.93,,-13.93,-15.24,-10.66,-8.96,5.35,,,,-8.93,,,3.51,,2.07,-5.20,-130.34,-97.59,-67.86,-58.26,578.11
Nitin Castings,508875,,Castings & Forgings,713.00,33.89,15.10,62.50,42.63,11.52,11.52,13.45,15.14,40.28,16.97,17.91,22.31,62.50,42.63,44.40,22.76,44.57,30.45,0.00,5.71,3.40,8.30,5.33,366.58
Nitin Spinners,532698,NITINSPIN,Textiles - Cotton/Blended,421.90,21.45,18.55,24.24,15.40,20.86,15.75,17.63,19.53,13.60,15.94,16.00,14.93,24.24,15.40,9.35,11.90,12.59,14.21,0.30,143.37,97.65,259.59,179.32,2371.92
Nitiraj Engineer,,NITIRAJ,Electronics - Components,288.15,23.44,13.27,49.13,15.89,6.07,11.58,7.94,9.37,32.48,15.56,12.96,12.73,49.13,16.00,14.81,-8.93,14.73,11.96,0.00,3.46,4.03,4.77,5.73,295.38
Nitta Gelatin,506532,,Chemicals,836.05,10.37,11.94,68.12,89.22,0.86,12.92,5.94,6.40,42.56,34.13,17.05,23.72,68.12,89.22,31.37,31.61,31.37,31.61,0.00,42.50,23.96,65.36,42.94,759.13
Nivaka Fashions,542206,,Trading,3.75,-53.02,-42.59,,,-40.54,-44.88,-23.53,38.03,-16.45,-27.52,8.89,32.22,,,,,,,3.50,-0.03,,0.04,,38.51
Niyogin Fintech,538772,,Finance & Investments,65.14,57.46,,,,78.72,78.72,,,,,,,,,,,,,0.56,-14.24,,-17.10,,619.80
NLC India,513683,NLCINDIA,Power Generation And Supply,278.90,9.37,5.66,17.95,4.05,2.18,4.60,2.29,8.14,4.28,4.78,-0.73,6.53,17.95,4.05,-9.77,3.89,-11.02,1.93,-7.00,1474.75,1629.59,3755.32,3445.90,38673.30
NMDC,526371,NMDC,Mining / Minerals / Metals,235.91,11.50,11.89,-2.70,4.65,4.63,20.61,13.41,5.86,-1.70,2.98,9.80,-1.28,-2.70,5.57,13.66,2.10,12.42,-0.94,-7.50,5946.95,4965.01,8581.00,7465.05,69135.92
NMDC Steel,543768,NSLNISP,Steel - Medium / Small,57.01,,,,,,,,,,,,,,,,,,,,-312.07,,-374.09,,16707.38
NMS Global,522289,,Miscellaneous,97.00,34.35,,-14.29,,-37.18,-37.18,,,5.24,,,,-14.29,,,,,,0.00,0.27,,0.63,,29.20
NOCIL,500730,NOCIL,Chemicals,318.20,16.04,6.73,10.29,-8.53,3.78,2.88,9.98,9.26,13.93,-6.61,3.34,11.27,10.20,-8.66,2.40,16.40,2.67,16.81,-0.05,131.38,124.56,172.13,177.72,5302.67
Noida Tollbridg.,532481,NOIDATOLL,Construction,12.13,17.25,0.47,6.39,2.22,4.27,21.27,-18.47,-15.94,53.10,28.55,-23.77,-22.51,6.39,2.22,,,,,0.00,-35.62,-9.63,-35.63,-11.60,225.86
Norben Tea,519528,NORBTEAEXP,Tea,12.65,-4.10,4.03,,,-1.28,-9.81,4.92,5.29,,,,,,,,,,,0.00,-0.44,-0.23,0.44,0.46,14.86
Norris Medicines,524414,,Pharmaceuticals - Indian - Bulk Drugs & Formln,13.32,-22.78,-19.08,20.74,5.25,-11.44,-22.94,-16.81,-12.19,23.98,11.45,,6.23,20.74,5.25,-16.83,1.66,-16.83,1.66,-0.03,-2.80,-1.99,-1.26,-0.95,13.32
North Eastn.Car.,534615,NECCLTD,Miscellaneous,37.14,13.27,-0.45,78.09,13.28,1.45,9.52,-6.78,-5.20,26.22,7.14,1.50,0.34,78.20,13.32,5.46,2.74,5.43,2.72,-4.36,5.21,4.98,14.68,15.17,353.69
Northern Spirits,542628,,Trading,264.40,101.26,62.22,77.36,10.50,62.24,40.17,86.50,104.20,55.86,9.12,66.29,108.90,77.36,3.81,-3.33,-2.53,63.52,95.81,0.00,8.06,5.15,16.74,10.61,424.39
Northlink Fiscal,539110,,Finance & Investments,63.47,-32.70,-43.96,,-19.73,6.38,-16.07,-25.78,1.52,-31.60,-28.23,-17.21,1.34,,-19.73,,,,,-10.96,0.06,0.05,0.09,0.12,33.32
Nouveau Global,531465,,Trading,0.49,,,17.46,,-46.51,-61.44,,,16.78,,10.27,,17.46,,10.17,,10.17,,-3.95,-0.84,-2.41,-0.63,-1.94,9.09
Nova Agritech,544100,NOVAAGRI,Fertilizers,81.97,16.27,14.06,65.02,42.08,13.45,15.53,,,33.94,27.28,,,-15.23,-4.73,,,,,,14.53,,26.76,,758.38
Nova Iron &Steel,513566,,Steel - Sponge Iron,23.95,137.35,104.31,25.37,,15.31,75.57,72.12,20.81,42.35,24.48,59.45,17.13,25.37,,8.44,6.77,8.44,6.77,-25.65,-16.52,-8.51,-0.83,2.82,86.56
Novartis India,500672,,Pharmaceuticals - Indian - Bulk Drugs & Formln,1135.60,-4.22,-7.35,58.56,9.96,-11.53,-10.69,-9.16,-8.99,27.59,6.54,3.75,2.85,58.56,9.96,7.48,0.90,5.49,-1.67,0.00,51.66,70.66,73.32,101.38,2803.89
Novateor Resear.,542771,,Personal Care - Indian,45.14,85.36,24.17,44.22,-32.87,-3.97,-3.97,36.08,44.73,13.30,-16.32,10.41,,44.22,-39.13,,,,,0.00,0.06,0.05,0.08,0.07,21.82
NPR Finance,530127,,Finance & Investments,22.07,17.89,-23.70,32.40,-32.18,-7.85,-24.09,-18.91,-15.14,81.01,-22.88,-19.11,-10.48,32.40,-32.18,-26.52,-13.96,-26.52,-13.96,0.15,-0.31,0.79,-0.14,1.43,13.22
NRB Bearings,530367,NRBBEARING,Bearings,325.95,12.79,2.54,21.84,0.18,7.84,3.49,6.04,6.08,17.56,0.31,6.46,6.23,21.84,0.18,9.48,11.62,9.48,11.62,1.07,72.00,69.35,118.12,116.84,3159.19
NRB Indl Bearing,535458,NIBL,Bearings,43.63,9.03,5.44,,-32.08,10.93,16.26,9.33,9.31,,,-16.62,4.07,,-32.08,-5.35,-0.34,-5.35,-0.34,0.48,-15.21,-17.35,-6.39,-8.68,105.80
NTC Industries,526723,,Cigarettes,233.05,13.53,14.16,-5.29,6.61,4.71,8.34,9.23,6.46,-6.27,3.77,2.39,11.31,-5.29,4.48,7.10,17.32,8.66,18.51,-4.85,6.62,5.06,9.78,8.38,278.35
NTPC,532555,NTPC,Power Generation And Supply,419.70,16.97,12.22,9.48,6.70,7.36,9.15,11.75,8.59,11.46,17.03,13.50,9.59,9.48,7.13,10.21,6.39,9.90,6.17,0.00,16411.77,13947.34,32985.74,24780.82,406969.08
Nucleus Soft.,531209,NUCLEUS,Computers - Software - Medium / Small,1503.15,17.19,11.29,17.73,18.47,6.79,7.60,12.06,9.09,17.09,18.32,15.79,10.54,20.97,20.41,17.40,12.68,14.26,10.56,5.68,98.39,78.13,131.55,102.66,4024.43
Nupur Recyclers,,NRL,Trading,87.60,,,,,28.49,28.49,,,,,,,,,,,,,,,,,,601.28
Nureca,543264,NURECA,Trading,270.35,-24.48,8.23,,,19.72,19.72,,,,,,,,,,,,,-6.76,16.09,,22.75,,270.35
Nutech Global,531304,,Trading,18.68,12.73,0.43,24.42,,-0.75,1.40,-0.86,0.27,95.51,-6.53,-6.00,-3.93,24.42,,,,,,0.00,-0.33,-0.11,0.80,1.16,5.98
Nutricircle,530219,,Food - Processing - Indian,274.00,,,,-4.41,-100.00,45.64,28.16,18.50,,-4.18,,,,-4.41,,,,,53.96,-0.50,-0.49,-0.50,-0.48,7.45
Nuvama Wealth,543988,NUVAMA,Finance & Investments,6414.40,31.63,,82.14,,28.49,28.49,,,44.83,,,,,,,,,,,318.41,,767.04,,22707.53
Nuvoco Vistas,543334,NUVOCO,Cement - North India,338.00,12.75,8.76,138.34,67.14,13.61,10.24,11.04,,3.67,11.80,12.07,,130.08,48.84,1.39,,-2.10,,,163.76,,619.47,,12071.88
Nuway Organic,531819,,Trading,31.59,,,175.89,15.20,-53.85,-53.85,,,-54.23,16.56,-34.84,-8.12,175.89,15.20,10.87,7.30,10.87,7.30,0.00,-1.71,-4.74,-1.48,-3.16,30.29
Nyssa Corp.,504378,,Finance & Investments,6.58,-9.17,-0.80,60.12,28.42,47.46,47.46,0.52,,48.01,27.31,12.82,,60.12,28.42,20.08,,20.08,,0.00,1.21,,1.72,,19.74
O N G C,500312,ONGC,Oil Drilling / Allied Services,330.10,28.39,8.81,47.11,9.86,1.70,1.70,12.47,13.96,25.22,6.44,8.85,7.68,47.11,9.86,11.42,6.89,11.10,6.67,-1.52,33210.27,27903.17,55852.35,49202.38,415275.02
Oasis Securities,512489,,Finance & Investments,208.00,-27.20,12.63,-17.62,45.77,36.30,44.52,-32.40,-18.55,-35.48,39.36,4.75,16.20,-17.62,45.77,55.80,23.65,55.80,23.65,0.00,0.84,0.45,3.57,2.51,38.48
Oberoi Realty,533273,OBEROIRLTY,Construction,1779.35,29.87,11.73,33.62,17.17,13.63,7.23,22.06,18.87,34.48,15.84,22.39,17.98,33.62,17.17,23.53,17.92,24.74,19.13,0.00,1218.10,845.86,1661.04,1183.34,64697.56
Objectone Inform,535657,,Computers - Software - Medium / Small,13.93,12.54,24.44,,,16.83,24.85,17.37,14.20,,,,,,,,,,,0.00,0.47,0.02,0.85,0.25,14.64
Oceanic Foods,540405,,Food - Processing - Indian,59.12,1.05,6.95,4.77,0.64,13.65,16.46,4.94,4.38,0.56,-1.66,-3.50,5.58,4.77,0.73,3.41,12.96,3.34,35.88,0.00,2.64,2.17,4.87,4.99,66.51
Octal Credit Cap,538894,,Finance & Investments,31.95,8.37,2.29,102.85,76.54,-30.56,-13.64,1.63,,97.93,77.88,79.79,,102.85,76.54,88.26,,88.26,,0.00,1.11,,1.12,,15.98
Octavius Plant.,542938,,Trading,75.99,18.14,47.83,6.35,10.51,23.32,23.32,56.64,50.41,-4.82,14.55,11.89,35.78,6.35,10.51,-6.95,19.33,9.06,33.37,-24.16,1.62,1.13,2.33,1.48,22.80
Octaware Tech.,540416,,Computers - Software - Medium / Small,59.75,-0.62,8.14,,,8.33,4.07,10.71,14.60,,,,,,,,,,,6.55,-0.85,0.34,-0.74,0.50,21.45
Odyssey Corpn.,531996,,Finance & Investments,11.04,13.15,9.90,-36.21,16.32,-25.53,-25.53,-0.58,,-23.49,18.27,5.54,17.48,-36.21,16.32,-3.75,18.68,-3.75,18.68,2.32,3.21,-0.27,4.53,0.38,43.49
Odyssey Tech.,530175,,Computers - Software - Medium / Small,128.25,16.65,14.09,32.34,48.32,8.85,8.85,12.00,13.14,9.84,17.89,8.48,13.04,32.17,32.12,-0.47,1.69,8.10,7.75,-0.60,3.13,2.68,4.35,3.93,202.73
Oil Country,500313,OILCOUNTUB,Steel - Medium / Small,46.71,101.48,-6.40,-14.51,3.06,-41.48,-79.82,14.00,-25.76,29.63,15.24,11.39,-29.96,-14.51,3.06,-26.08,,-26.08,,0.00,-25.95,-29.59,-14.28,-19.36,206.88
Oil India,533106,OIL,Oil Drilling / Allied Services,606.00,22.60,18.70,27.54,14.72,2.98,35.06,19.07,12.85,25.06,12.70,15.99,10.57,27.54,14.72,20.21,11.27,18.45,10.13,0.00,6146.09,4463.50,9467.09,6991.42,98572.43
OK Play India,526415,,Plastics Products,14.38,27.10,3.79,30.06,-26.87,8.99,8.99,12.93,5.62,22.78,-3.21,9.37,8.25,28.71,-32.66,53.27,7.80,63.32,8.22,-14.90,-3.74,-0.17,11.99,15.89,417.42
Olatech Solution,543578,,Computers - Software - Medium / Small,152.95,40.47,,193.05,,-34.33,-34.33,,,153.15,,,,,,,,,,,1.04,,1.46,,66.21
Olectra Greentec,532439,OLECTRA,Automobiles - LCVs / HCVs,1677.55,60.07,46.66,111.68,46.55,14.71,40.33,40.86,30.54,80.16,216.26,36.21,31.84,111.68,45.87,21.95,30.11,37.14,41.25,-5.59,36.97,19.73,72.71,42.01,13769.45
Olympia Industri,521105,,Trading,57.75,10.67,8.17,58.08,-10.81,4.92,4.92,-3.63,39.88,27.48,4.85,-2.86,28.59,58.08,-10.81,-23.13,0.97,-21.23,8.18,0.00,0.53,1.77,3.79,4.74,34.79
Olympic Cards,534190,,Printing & Stationery,4.00,11.80,-21.48,20.78,10.88,-15.87,-17.80,-19.50,-13.90,33.24,-12.62,-15.99,-10.67,20.78,10.88,,,,,0.00,-3.85,-2.70,-0.55,1.76,6.52
Olympic Oil Ind.,507609,,Trading,49.98,,,,14.76,-38.72,-100.00,,,,14.74,,,,14.76,,,,,0.00,-2.24,-3.55,-0.44,2.44,14.24
Om Infra,531092,OMINFRAL,Engineering - Turnkey Services,227.90,67.82,39.23,74.93,24.46,2.09,32.84,24.25,10.35,30.80,18.28,12.50,5.62,74.93,24.46,21.21,2.94,21.21,2.94,-4.35,20.62,22.48,59.98,60.77,2194.68
Omax Autos,520021,OMAXAUTO,Auto Ancillaries,134.08,30.06,-18.56,26.07,-10.69,2.25,18.11,-14.25,-9.61,54.24,-4.02,-0.03,-1.23,26.07,-10.69,11.38,7.42,11.38,7.42,-3.55,-23.47,-10.16,1.58,14.10,286.80
Omaxe,532880,OMAXE,Construction,139.15,50.27,6.71,-33.44,,-1.97,25.17,-0.11,0.06,,,,,-33.44,,,,,,-0.01,-252.18,-89.28,-156.86,54.68,2545.05
Omega Interactiv,511644,,Computers - Software - Medium / Small,239.40,-13.69,,,,-52.63,-17.65,3.66,16.23,,,,,,,,,,,15.41,0.00,0.00,0.01,0.01,11.97
Omfurn India,,OMFURN,Miscellaneous,63.00,57.76,18.55,74.98,94.93,8.96,15.69,14.96,15.11,63.03,17.90,10.47,12.47,63.10,82.43,2.12,-13.11,12.45,17.02,-22.44,1.65,1.48,3.96,3.46,74.18
Omkar Overseas,531496,,Trading,4.95,,,2.33,,-66.99,-76.64,,,2.33,,,,2.33,,,,,,-7.17,-0.83,-0.40,-0.83,-0.40,2.48
Omkar Pharmachem,532167,,Miscellaneous,27.78,25.99,,-4.77,19.65,100.00,100.00,,22.67,113.02,22.54,19.01,,-4.77,19.65,16.46,35.59,16.46,,0.00,0.11,-0.05,0.14,-0.03,28.02
Omkar Spl.Chem.,533317,OMKARCHEM,Chemicals,9.39,-18.63,-40.83,15.65,,-7.78,-37.60,-26.23,-17.99,,,,,15.65,,,,,,,-21.75,2.11,-13.08,13.40,19.32
Omni Ax's,532340,,Computers - Software - Medium / Small,3.37,,-3.04,11.20,-5.59,-100.00,-100.00,,-4.98,11.20,-5.59,-7.68,,11.20,-5.59,0.00,-10.40,0.00,,0.00,-0.15,-0.11,-0.15,-0.11,5.80
Omnipotent,543400,,Trading,11.10,-30.65,1.68,-51.47,,61.37,61.37,,,-35.58,122.06,,,-90.19,,,,,,,0.21,,0.36,,6.72
Omnitex Industri,514324,,Trading,154.90,-7.39,76.23,128.57,102.20,60.00,300.00,19.10,31.49,166.84,63.74,64.50,20.35,128.57,102.20,45.90,25.10,45.90,25.10,1.71,0.20,0.10,0.17,0.08,65.06
On Door Concepts,,ONDOOR,Trading,500.00,8.53,6.15,46.87,16.81,4.05,4.05,,,102.74,18.97,,,,,,,,,,-4.41,,-2.75,,282.43
One 97,543396,PAYTM,Miscellaneous,527.00,52.72,25.35,4.91,10.61,24.87,24.87,,,16.25,13.02,,,24.28,14.51,,,,,,-1960.04,,-1931.80,,33531.64
One Global Serv,514330,,Healthcare,145.90,157.98,101.65,45.05,92.35,198.03,65.67,,,57.51,104.81,95.74,44.94,45.05,92.35,87.34,40.72,87.34,40.72,0.00,2.31,1.18,2.79,1.42,103.59
One Point One,,ONEPOINT,Computers - Software - Medium / Small,68.77,18.66,2.14,52.32,16.25,21.04,6.50,8.51,,55.10,14.45,19.66,,50.34,14.16,-21.80,,18.41,,-9.49,3.68,,11.14,,1468.85
OneClick Logisti,,OLIL,Miscellaneous,88.25,,,,,638.56,638.56,,,,,,,,,,,,,,,,,,31.80
Onelife Capital,533632,ONELIFECAP,Finance & Investments,17.31,79.01,28.55,114.00,47.05,-5.73,-9.96,24.79,19.85,118.23,72.00,29.59,14.52,114.00,47.05,11.18,-0.50,11.18,-0.50,-22.45,-0.81,-1.33,1.14,-0.13,23.13
Onesource Ideas,530805,,Finance & Investments,85.55,174.88,98.93,-32.49,27.23,11.11,39.29,87.34,13.03,-39.43,21.67,16.99,7.27,-32.49,27.23,10.98,,16.99,7.27,24.99,-0.33,-0.19,-0.32,-0.19,26.31
OnMobile Global,532944,ONMOBILE,Telecommunications - Service Provider,82.22,-2.36,-2.88,-28.07,-2.72,-3.70,-3.61,-4.73,-5.09,-16.92,-4.98,-12.96,-11.73,-28.46,-2.81,-0.71,9.02,-0.46,8.90,-0.69,22.33,11.23,35.15,30.87,874.17
Ontic Finserve,540386,,Finance & Investments,0.60,-60.61,-31.96,,,-14.00,-62.21,-22.84,,,,,,,,,,,,0.00,-0.50,0.44,-0.48,0.46,5.40
Onward Technolog,517536,ONWARDTEC,Computers - Software - Medium / Small,429.10,25.26,12.60,66.72,27.17,7.13,7.13,11.28,10.96,38.10,20.18,23.23,19.54,49.81,18.47,27.77,69.33,35.15,77.26,-19.62,16.38,10.92,24.64,18.12,969.90
Optiemus Infra.,530135,OPTIEMUS,Trading,473.40,103.42,5.43,9.30,24.20,-25.21,30.14,-0.09,-9.41,61.16,110.17,4.77,-2.18,9.28,24.20,37.20,1.54,37.21,1.55,-0.03,11.24,5.74,3.37,25.91,4064.48
Optimus Finance,531254,,Finance & Investments,111.90,26.79,12.57,37.80,26.25,31.11,31.11,33.38,21.08,24.37,20.06,37.91,38.38,24.97,19.05,26.19,26.03,31.59,34.22,-18.38,3.20,1.81,7.36,4.51,83.62
Oracle Fin.Serv.,532466,OFSS,Computers - Software - Medium / Small,10389.60,8.54,5.15,8.00,9.88,4.77,4.77,5.34,5.47,6.32,6.13,7.48,4.19,7.75,9.65,8.59,4.72,8.87,5.03,-0.50,1827.73,1524.29,2593.99,2249.90,90092.31
Orbit Exports,512626,ORBTEXP,Textiles - Processing,195.47,42.98,7.62,107.56,5.55,1.55,5.39,5.85,4.16,56.27,6.90,5.68,5.95,110.05,6.97,8.37,5.78,7.10,5.28,0.28,23.54,24.31,32.39,34.92,517.36
Orchasp Ltd,532271,,Computers - Software - Medium / Small,3.39,17.44,-26.18,47.94,-30.52,15.19,-37.09,-18.07,2.81,11.63,-24.87,-14.26,-3.07,28.84,-36.05,-24.36,27.05,-16.08,36.63,2.25,0.60,-0.93,1.43,-0.23,59.08
Orchid Pharma,524372,ORCHPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1417.70,22.11,6.43,40.61,22.00,-10.32,19.00,0.41,-8.29,49.28,94.46,24.70,-0.60,37.99,26.44,13.29,8.26,12.11,7.96,-20.15,-30.67,-158.31,-11.61,-29.68,7190.45
Organic Coatings,531157,,Chemicals,17.50,24.06,-5.49,21.22,9.13,-4.07,3.76,-1.55,-4.33,52.36,6.11,-4.26,-15.61,21.22,9.13,,,,,0.00,-1.21,-0.93,0.19,0.44,13.43
Organic Recyclin,543997,,Miscellaneous,295.00,29.97,,55.09,,16.69,16.69,,,45.65,,,,26.06,,,,,,,,,,,227.13
Oriana Power Ltd,,ORIANA,Power Generation And Supply,1903.70,125.23,,322.34,,57.55,57.55,,,189.70,,,,129.30,,,,,,,14.75,,23.81,,3651.79
Oricon Enterpris,513121,ORICONENT,Packaging,40.05,-30.50,-33.41,-15.43,,0.19,-20.52,-25.65,-16.48,,,,,-15.43,,,,,,0.65,-1.81,11.49,15.53,43.10,628.98
Orient Bell,530365,ORIENTBELL,Ceramics - Tiles / Sanitaryware,399.90,10.31,3.38,-46.51,-34.60,2.07,2.07,0.81,1.66,-12.19,-8.64,-12.12,-6.51,-46.80,-34.90,-32.48,-7.10,-32.21,-6.43,1.00,14.08,,20.52,,583.64
Orient Beverages,507690,,Miscellaneous,356.70,47.45,13.99,34.58,6.89,30.18,30.18,19.12,,130.72,14.82,16.92,,34.58,6.89,36.95,,36.95,,4.59,-0.10,,6.31,,77.05
Orient Cement,535754,ORIENTCEM,Cement - South India,355.55,11.08,4.78,-6.36,29.79,7.78,7.78,7.87,8.29,-6.42,7.36,13.53,7.54,-6.36,29.79,33.61,5.60,33.61,5.60,0.53,171.99,117.79,336.98,252.85,7284.11
Orient Ceratech,504879,ORIENTCER,Refractories / Intermediates,49.55,1.61,0.25,6.85,-3.55,4.95,9.69,5.44,6.16,-1.46,-5.39,5.19,1.90,6.85,-3.55,9.97,6.84,9.97,6.84,0.00,13.42,14.41,22.33,24.26,592.81
Orient Electric,541301,ORIENTELEC,Domestic Appliances,274.30,11.43,8.57,-19.31,-2.20,11.19,10.59,44.24,,-10.69,1.06,30.73,,-19.46,-2.31,,,27.01,,-0.17,92.89,,148.00,,5852.63
Orient Green,533263,GREENPOWER,Power Generation And Supply,21.89,1.81,-3.47,34.71,21.53,-9.32,4.86,-4.71,-4.12,4.09,-6.05,-5.25,-0.25,34.71,21.53,12.95,7.79,12.98,7.98,-19.31,0.03,-51.27,123.92,121.40,2146.80
Orient Paper,502420,ORIENTPPR,Paper,52.47,23.34,3.22,27.45,-47.82,5.85,-11.77,7.20,-6.18,74.93,-11.81,7.49,-0.70,27.45,-47.82,-17.21,-2.77,-17.21,-2.77,0.00,7.51,17.69,22.22,42.14,1113.34
Orient Press,526325,ORIENTLTD,Packaging,99.26,6.48,-2.96,19.22,,-0.70,-0.70,-1.52,-0.46,10.56,-8.98,-7.13,-3.10,19.22,,,,,,-0.05,-2.99,-0.46,2.71,5.83,99.26
Orient Tradelink,531512,,Construction,14.72,-2.75,-15.02,-37.00,-21.91,-7.25,-12.74,0.48,14.91,-6.42,-11.30,19.60,66.93,-39.32,-23.58,-9.30,,-7.89,,-10.03,0.56,0.27,0.90,0.55,36.11
Oriental Aromat.,500078,OAL,Chemicals,459.50,5.92,2.22,-55.35,-31.15,0.69,-1.33,9.10,,-29.90,-14.24,-2.40,,-55.35,-31.15,-20.66,,-14.89,,0.00,54.21,,82.00,,1546.38
Oriental Carbon,506579,OCCL,Chemicals,306.65,6.53,1.42,-16.34,-9.56,4.79,-0.84,4.91,3.43,-5.71,-4.55,2.15,3.79,-16.34,-9.56,-0.37,2.04,-0.79,1.73,0.00,57.62,56.40,85.87,84.56,306.35
Oriental Hotels,500314,ORIENTHOT,Hotels,136.71,50.26,2.54,39.06,24.86,-0.34,-0.34,2.32,1.01,85.23,12.71,10.44,6.43,39.06,24.86,39.63,24.66,39.63,24.66,-0.07,0.68,2.55,30.47,28.70,2441.63
Oriental Rail,531859,,Miscellaneous,364.25,33.71,30.46,24.82,20.59,14.49,61.69,27.24,,27.30,25.57,21.72,,19.48,17.46,19.15,,21.40,,-3.04,17.71,12.63,35.80,24.73,2238.64
Oriental Trimex,532817,ORIENTALTL,Trading,11.13,-41.52,-45.01,-50.65,,-5.07,-53.00,-32.53,-22.75,,,,-6.57,-43.86,,,5.59,,3.78,-0.84,-3.66,-1.62,0.16,1.24,32.73
Orissa Bengal,541206,OBCL,Miscellaneous,59.40,-0.62,-7.38,-18.87,-22.13,-3.44,-10.57,6.59,,-15.37,-17.96,-3.41,,-18.87,-22.13,-30.99,,-1.31,,2.55,5.53,4.87,9.47,9.19,125.23
Orissa Minerals,590086,ORISSAMINE,Mining / Minerals / Metals,7206.35,,,20.95,14.06,-57.03,-57.03,,,24.54,14.79,,,20.95,14.06,,,,,0.00,-121.19,-81.50,-134.85,-85.36,4323.81
Orosil Smiths,531626,,Diamond Cutting / Jewellery,3.79,0.00,-20.66,-6.08,-1.63,-21.28,-21.28,-16.52,-19.58,-1.47,-3.04,,,-6.08,-1.63,-8.52,-2.31,-8.53,-2.28,-24.28,-0.31,-0.28,-0.31,-0.26,15.66
Ortel Commu.,539015,ORTEL,Entertainment / Electronic Media Software,1.44,-28.25,-18.38,-12.54,,0.39,-21.16,-8.70,-3.32,-54.82,-42.25,-27.15,-16.82,-8.34,,-12.67,-0.90,,-7.47,,-24.86,-15.13,-9.48,5.18,4.75
Ortin Labs.,539287,ORTINLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,20.78,-34.62,-57.66,,,-1.83,-27.10,-37.55,-28.68,,,,,,,,,,,-14.45,-1.62,-0.39,-0.22,2.18,16.90
Oscar Global,530173,,Leather / Leather Products,14.27,,,23.76,14.59,-39.39,-100.00,,,23.61,14.58,,,23.76,14.59,,,,,0.00,-0.87,-0.69,-0.87,-0.64,4.71
Osia Hyper Reta.,,OSIAHYPER,Trading,25.29,53.60,37.79,50.02,17.22,56.26,48.14,42.69,121.10,61.21,32.05,52.35,,39.61,5.60,26.90,,54.27,,-14.83,10.24,6.64,29.69,17.97,298.74
Osiajee Texfab,540198,,Trading,49.04,-21.66,,42.60,,-15.52,-15.52,,,30.50,,,,42.60,,,,,,0.00,,,,,26.48
Oswal Agro Mills,500317,OSWALAGRO,Trading,47.68,-60.02,,-41.77,-29.54,2.51,-62.35,-26.08,-16.67,-27.41,-18.06,-13.10,-12.44,-41.77,-29.54,-23.94,-16.15,-23.94,-16.15,0.17,20.63,22.24,8.86,10.50,640.01
Oswal Green Tech,539290,OSWALGREEN,Finance & Investments,40.69,-7.02,-4.07,-49.72,-33.25,-6.39,-6.39,-2.01,-3.38,-43.03,-25.96,-20.18,-18.37,-49.72,-33.25,-27.78,-21.84,-27.78,-21.84,0.01,45.55,45.27,67.96,64.47,1044.96
Oswal Yarns,514460,,Trading,18.95,-19.22,-7.66,,,-4.93,9.00,-10.87,-8.90,,,,,,,,-21.32,,-21.32,0.00,-0.09,-0.05,-0.06,0.04,7.60
OTCO Intl,523151,,Miscellaneous,7.65,-21.21,51.72,-47.72,15.85,56.00,56.00,4.37,36.43,-35.43,18.04,4.92,30.20,-47.72,15.85,-5.59,7.39,-5.63,,0.00,0.16,0.24,0.19,0.33,9.92
Ovobel Foods,530741,,Food - Processing - Indian,213.10,16.40,12.41,128.20,25.93,7.68,11.72,13.15,5.18,265.62,20.67,65.23,2.98,128.20,25.93,32.38,20.75,32.38,20.75,54.57,11.59,7.81,16.81,12.01,223.77
Owais Metal,,OWAIS,Mining / Minerals / Metals,1269.60,,,,,,,,,,,,,,,,,,,,,,,,2308.44
Oxygenta Pharma,524636,,Pharmaceuticals - Indian - Bulk Drugs,31.89,-8.67,14.09,,-1.72,27.91,16.32,25.35,32.21,,,,,,10.80,8.89,5.79,4.86,1.82,16.52,-4.86,-4.95,-5.54,-5.08,113.16
P & G Health Ltd,500126,PGHL,Pharmaceuticals - Multinational,5299.90,-3.21,11.99,-3.69,22.70,8.74,10.48,3.92,5.99,-4.05,20.63,17.91,10.53,-3.69,22.70,22.81,11.31,22.81,11.31,0.00,337.59,200.30,409.92,251.94,8797.83
P & G Hygiene,500459,PGHH,Personal Care - Multinational,17159.30,9.28,9.80,15.99,12.39,5.81,9.14,8.07,8.86,11.85,7.11,3.91,10.90,15.99,12.39,6.95,12.59,6.95,12.59,0.00,553.71,466.73,751.35,667.17,55700.35
P B A Infra.,532676,,Construction,13.08,47.58,-6.59,212.51,17.84,-36.23,-47.81,-5.35,-14.58,51.86,4.03,4.30,-7.98,212.51,17.84,14.12,21.70,14.12,21.70,0.00,-21.33,-21.18,-20.02,-3.34,17.66
