Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Average return on equity 3Years,Number of equity shares 10years back,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
Brijlaxmi Leas.,532113,,Finance & Investments,15.95,5.30,8.18,0.56,4.92,4.92,5.70,,,,,0.00,0.00,0.00,7.16,4.51,4.05,3.02,2.77,4.18,47.60,44.26,38.08,7237.00,0.00,0.00,0.00,0.00,0.85,1.26,15.25,17.27,16.00,16.00,1.49,1.78,1.12,2.35,-46.70,0.00,0.00,10.31
Brisk Technovisi,544101,,Computers - Hardware,140.00,,45.22,,,,,,,,,0.00,,,59.06,59.06,59.06,59.06,,,,,,,4.69,42.28,71.22,,,25.68,14.40,14.40,14.40,14.40,,,,,9.94,,,28.00
Britannia Inds.,500825,BRITANNIA,Food - Processing - MNC,5720.35,49.27,57.76,23.99,147.29,183.09,51.90,8.52,9.33,9.49,11.65,0.00,0.00,1900.42,46.26,44.18,44.62,49.82,44.43,44.35,13.64,17.45,16.20,259949.00,82.24,8.17,7.15,13.02,22.03,22.26,55.98,54.40,57.66,55.24,87315.96,74150.21,40488.00,10116.58,3.56,-0.99,5.51,137785.10
Bronze Infra,534731,,Construction,1.51,2.39,7.46,1.73,2.73,5.75,14.80,2.00,0.00,1.96,23.33,0.00,0.00,0.00,6.28,2.92,2.12,1.53,0.61,1.28,185.17,2.39,1.63,,0.00,398.09,,882.08,-0.24,0.90,13.83,139.00,14.56,14.56,0.38,1.12,9.10,17.28,-37.54,0.00,0.01,2.61
Brookfield India,543261,BIRET,Construction,271.44,,1.41,,,,,,,,,0.00,,,4.15,4.15,4.15,4.15,,,,,,,91.34,13.36,67.29,,,0.93,63.74,63.80,63.80,63.80,,,,,-138.79,,,13029.53
Brooks Lab.,533543,BROOKS,Pharmaceuticals - Indian - Bulk Drugs & Formln,106.07,,-21.33,,30.21,,,,,,,0.00,,,-22.63,-22.63,-22.63,-22.63,,,,,,11216.00,0.00,73.09,64.73,,,-16.28,,,,,159.09,110.33,277.36,37.15,49.67,0.00,3.86,278.40
BSE,,BSE,Miscellaneous,2563.70,9.14,11.30,31.18,185.54,179.50,,,,,,0.00,0.00,143.83,15.52,11.93,13.24,12.22,10.06,11.02,16.80,35.32,36.82,458410.00,57.18,37.24,50.55,27.43,4.15,4.77,44.93,26.33,23.61,34.31,2571.90,3165.81,5246.67,,-1028.01,11.12,-2.80,34706.44
BSEL ALGO,532123,,Finance & Investments,11.63,3.11,5.60,8.26,43.58,44.61,41.44,0.00,0.00,0.00,0.00,,0.00,0.00,5.85,3.10,1.34,0.93,0.98,1.47,23.74,,,53184.00,0.00,-1023438.72,-3627278.75,26575.68,1.36,2.61,3.03,10.00,10.00,3.78,8.26,15.70,42.96,11.57,864085.61,0.00,0.00,96.09
BSL,514045,BSL,Textiles - Processing,231.53,9.90,14.08,1.03,76.06,72.92,65.26,1.47,1.80,2.23,2.97,57.04,0.00,0.76,10.99,9.55,8.43,9.04,7.74,7.13,50.68,9.48,8.96,10035.00,9.68,76.29,78.95,70.42,2.11,3.19,11.00,12.64,13.81,11.46,33.76,44.15,75.39,17.29,168.93,0.00,-0.87,238.29
Bulkcorp,,,Packaging,,,46.54,,,,,,,,,77.54,,,30.09,30.09,30.09,30.09,,,,,,,0.00,66.81,61.28,,,9.57,,,,,,,,,51.89,,,78.90
