Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization
Kabsons Industri,524675,,Trading,40.31,9.51,0.84,81.14,300.00,60.12,206.25,0.96,0.23,1.19,0.22,0.97,0.01,0.96,0.12,0.00,0.84,18.19,10.09,8.83,17.46,0.48,0.81,0.21,6.46,4.91,1.02,0.55,93.40,202403.00,61.96,7.95,0.48,0.23,0.13,6.34,0.07,0.36,0.43,0.22,0.21,0.02,0.19,0.00,0.19,0.00,0.19,1.10,3.00,17.46,0.11,70.39
Kachchh Minerals,531778,,Mining / Minerals / Metals,29.29,0.00,-0.11,,-57.14,327.87,788.89,-0.10,0.01,-0.09,0.01,-0.10,0.01,-0.11,0.00,0.00,-0.11,,,,5.21,-0.21,0.26,0.24,0.88,0.65,0.22,0.20,,202403.00,,,,,,1.08,0.33,0.00,0.33,0.01,0.32,0.01,0.31,0.00,0.31,0.00,0.31,30.56,28.70,5.21,0.58,15.53
Kahan Packaging,543979,,Packaging,74.00,12.53,,,,40.98,-2.91,1.09,,,,,,,,,0.45,,,,,1.65,,,,,,,11.17,202403.00,,,,,,12.17,1.19,,,,,,,,,,0.55,,,,2.02,20.13
Kaira Can,504840,,Packaging,1929.00,54.40,0.75,-6.98,-46.04,-11.83,-53.37,1.58,0.38,1.96,0.75,1.21,0.06,1.15,0.40,0.00,0.75,19.30,2.90,1.38,0.92,8.13,1.36,2.83,52.57,65.81,0.59,1.54,-52.91,202403.00,-10.56,58.86,2.09,1.23,13.35,51.06,1.51,0.48,1.99,0.72,1.27,0.04,1.23,0.35,0.89,0.00,0.89,2.96,1.74,0.92,9.65,177.47
Kaiser Corporat.,531780,,Printing & Stationery,9.90,3.43,0.23,-73.29,-94.61,35.70,128.57,0.74,0.00,0.74,0.04,0.70,0.42,0.28,-0.14,0.00,0.40,106.41,21.57,11.66,5.26,0.04,0.61,0.42,10.51,6.61,-0.01,0.14,472.22,202403.00,183.51,18.74,1.64,1.08,0.12,5.03,0.31,0.08,0.39,0.04,0.35,0.31,0.04,0.01,0.01,0.00,0.02,6.16,0.40,5.26,0.00,52.09
Kaizen Agro,538833,,Trading,20.05,16.23,0.11,43.50,1000.00,47.39,-74.36,0.16,0.00,0.16,0.02,0.14,0.00,0.14,0.03,0.00,0.11,3.51,0.99,0.68,21.41,0.02,-0.03,-0.36,7.98,2.45,-0.03,-0.36,-67.35,202403.00,,,,,,6.03,0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.50,8.29,8.29,21.41,0.23,103.09
Kajaria Ceramics,500233,KAJARIACER,Ceramics - Tiles / Sanitaryware,1460.60,1113.69,89.82,4.65,-16.46,4.28,11.13,164.75,10.19,174.94,42.14,132.80,4.68,128.12,35.80,0.00,92.32,38.50,14.79,8.29,15.93,5.64,178.47,179.49,1151.75,1121.62,107.96,110.82,14.23,202406.00,4.29,1169.72,179.56,133.20,8.14,1240.82,171.30,17.44,188.74,42.49,146.25,6.61,139.64,35.37,102.44,0.00,104.27,13.81,8.40,15.93,6.43,23261.27
Kaka Industries,543939,,Plastics Products,262.75,82.64,,,,10.58,80.56,11.82,,,,,,,,,6.50,,,,,4.76,,,,,,,57.92,202403.00,,,,,,87.57,9.42,,,,,,,,,,6.49,,,,4.75,358.92
Kakatiya Cement,500234,KAKATCEM,Cement - South India,233.99,30.86,1.42,-32.68,317.65,1.17,66.82,-1.39,4.41,3.02,0.61,2.41,1.74,0.67,-0.75,0.00,1.42,33.80,-4.50,4.60,7.77,1.83,0.54,-2.72,37.73,40.34,1.80,-1.73,65.54,202403.00,6.01,42.77,-2.12,-4.54,-5.84,47.03,-3.03,2.68,-0.35,0.60,-0.95,1.18,-2.13,0.70,-2.84,0.00,-2.84,-6.44,-6.04,7.77,-3.65,181.81
Kakatiya Textile,521054,,Textiles - Cotton/Blended,22.64,0.21,-0.45,-80.00,-225.00,-89.44,-1013.33,-0.36,0.03,-0.33,0.12,-0.45,0.00,-0.45,0.00,0.00,-0.45,28.57,-171.43,-214.29,5.79,-0.77,-0.28,-0.30,0.18,0.21,-0.28,-0.32,-191.18,202403.00,-71.92,0.06,-0.09,-0.13,-0.22,0.19,-0.30,0.01,-0.29,0.13,-0.42,0.00,-0.42,0.00,-0.42,0.00,-0.42,-157.89,-221.05,5.79,-0.72,13.15
