Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,318.80,1341.40,600.27,-2991.63,1411.57,-238.66,692.69,462.39,-34.58,636.20,-387.23,325.50,574.47,118.22,701.06,1197.74,2474.77,,,2928.11,4675.95,,,,,-5337.79,-3931.68,261.75,57.41,,32393.32
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,240.00,-24100.50,-24498.67,-4590.29,28514.30,-176.49,1730.79,3579.01,-24268.34,-24028.59,-2674.68,26385.21,-318.06,2048.85,2315.86,-54013.66,-49981.23,-72443.49,-88875.88,-53198.60,-48863.66,-71013.17,-87280.19,-12264.66,-10003.88,-9350.99,-8710.52,3179.14,1085.95,803.70,62449.87
Aditya Consumer,540146,,Trading,83.50,5.66,4.74,-0.31,-4.86,0.49,8.86,8.86,5.85,9.45,-3.30,1.23,7.38,1.48,8.86,14.71,14.72,15.19,8.84,21.80,26.65,34.13,36.99,-26.38,-17.53,-10.75,-6.11,1.47,3.54,1.81,122.19
Aditya Ispat,513513,,Steel - Medium / Small,10.50,5.19,5.76,0.59,-5.81,-0.03,0.14,0.16,2.20,3.01,-0.80,-2.13,0.08,0.06,0.19,1.44,-5.94,-7.11,-6.73,5.08,10.67,14.83,17.19,-23.70,-21.82,-16.53,-3.60,0.07,0.35,0.25,5.61
Aditya Spinners,521141,,Textiles - Spinning - Synthetic / Blended,20.20,8.83,7.99,-0.73,-8.09,0.00,0.05,0.14,-0.13,5.68,-5.71,0.05,0.02,0.03,0.14,7.89,9.04,10.75,1.54,20.52,28.59,35.93,43.20,-41.48,-23.29,-18.80,-12.42,0.15,0.07,0.08,33.82
Aditya Vision,540205,,Trading,4499.90,-6.12,-39.50,-48.21,68.36,14.03,3.52,96.16,-12.26,17.61,-84.18,68.72,2.15,1.37,3.52,-38.30,-40.33,-37.26,-32.39,43.01,85.32,97.56,111.24,-211.73,-203.24,-195.00,-155.69,22.25,14.25,12.04,5789.69
Adjia Tech,543269,,Computers - Software - Medium / Small,45.49,0.01,0.01,0.00,0.00,0.01,0.07,0.07,0.01,0.01,0.00,0.00,0.01,0.07,0.07,-0.01,-1.97,,,0.51,-0.73,,,,,-1.24,-0.52,0.10,0.00,0.00,4.00
Adline Chem Lab,524604,,Pharmaceuticals - Indian - Formulations,13.12,-0.02,-0.02,0.00,0.00,-0.02,0.06,0.04,0.01,0.01,0.00,0.00,0.01,0.05,0.06,0.20,-0.07,-0.94,-3.11,0.20,-11.43,-11.49,-7.81,4.88,10.71,11.36,0.00,-0.16,0.17,0.13,7.68
Ador Fontech,530431,,Electrodes - Welding Equipment,144.00,19.33,18.08,-1.53,-17.50,0.30,1.55,45.83,14.80,18.21,-2.09,-14.14,1.98,0.72,42.53,50.42,62.79,65.75,75.67,57.06,85.87,93.87,114.49,-27.36,-26.90,-26.77,-14.73,27.05,25.99,24.96,504.01
Ador Multi Prod.,523120,,Personal Care - Indian,34.45,-0.54,-0.52,1.65,-0.03,1.08,-2.02,0.07,-6.87,-6.76,0.19,0.36,-6.20,4.18,0.06,-17.49,-27.83,-29.17,,-15.92,-26.66,-30.74,,,9.05,8.31,0.94,1.02,0.61,0.51,16.10
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment,1405.00,34.50,-6.09,-36.89,-1.73,-4.12,5.95,2.74,0.15,13.67,-9.66,-4.67,-0.66,6.61,6.89,21.65,83.70,82.01,68.41,74.56,166.53,192.62,215.94,-121.89,-98.79,-79.95,-52.00,18.00,28.00,21.53,1910.80
Adroit Info.,532172,ADROITINFO,Computers - Software - Medium / Small,18.42,-1.72,-2.27,-9.98,12.20,0.50,1.17,1.66,-7.66,5.93,-13.86,9.04,1.10,0.07,1.17,-10.35,-10.23,-7.08,2.98,4.87,3.11,15.94,29.39,-39.82,-33.13,-23.21,-24.96,0.03,0.03,7.26,39.92
Advait Infratech,543230,,Construction,1695.00,-10.40,-19.40,-8.22,43.60,24.98,17.99,42.97,6.18,12.08,-5.58,1.97,8.47,10.49,18.96,-15.79,-15.49,,,13.28,14.27,,,,,-27.04,-27.44,14.17,6.57,,1730.21
Advance Lifes.,521048,,Textiles - Jute - Yarn / Products,45.99,-0.80,-0.80,0.45,0.25,-0.10,0.13,0.03,0.83,0.83,0.00,-0.40,0.43,0.02,0.13,0.36,-3.37,-1.72,-3.19,0.36,-3.37,-1.72,-3.27,27.66,15.37,0.45,0.45,0.02,0.03,17.40,28.63
Advance Meter.,534612,,Electric Equipment,38.49,0.28,-1.94,-4.82,2.30,-2.24,2.97,15.16,-9.78,8.35,2.15,-12.90,-2.40,5.37,30.73,0.30,1.70,-15.83,-30.18,11.95,20.33,21.83,14.19,65.32,54.18,73.79,63.87,56.29,11.20,15.91,61.81
Advance Petroch.,506947,,Chemicals,288.00,1.10,0.07,-1.01,0.08,0.17,0.47,0.64,0.57,3.34,-2.76,-0.54,0.04,0.44,0.47,1.19,1.84,3.59,5.09,6.24,8.10,10.00,12.55,-7.65,-6.43,-6.13,-4.99,0.38,0.40,0.16,25.92
Advance Syntex,539982,,Textiles - Spinning - Synthetic / Blended,7.30,7.09,7.20,0.11,-7.29,-0.08,0.16,0.07,5.33,2.30,3.04,-6.40,-1.06,1.22,0.16,8.09,11.91,10.76,7.21,4.14,8.91,15.33,18.89,-10.40,-3.75,3.45,4.03,2.04,2.13,2.12,8.10
Advanced Enzyme,540025,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,378.65,141.37,99.17,-64.65,-59.24,17.48,96.42,143.50,102.43,140.36,-285.50,-25.80,-170.94,267.36,123.35,297.01,531.00,752.46,979.02,404.02,707.89,952.44,1206.92,-687.40,-602.41,-418.57,-348.50,197.77,23.41,7.87,4234.25
Advani Hotels.,523269,ADVANIHOTR,Hotels,70.83,29.23,25.17,-12.84,-16.51,-0.12,3.08,29.05,23.57,25.95,-8.53,-15.40,2.03,1.06,3.60,61.34,75.35,97.09,128.98,68.23,84.01,110.81,147.03,-55.77,-51.08,-28.17,-34.52,2.76,0.76,3.21,654.73
Advik Capital,539773,,Finance & Investments,2.58,-52.12,-53.51,6.81,44.96,-0.35,1.43,1.09,-88.39,-88.36,-26.57,116.10,1.17,0.26,1.44,-143.59,-145.33,-144.04,-147.98,-142.16,-143.48,-142.01,-145.20,-19.07,-22.07,-20.26,-19.78,0.11,0.03,0.36,110.47
Aegis Logistics,500003,AEGISLOG,Trading,873.85,655.53,41.96,-712.18,256.43,199.79,832.51,1774.63,-179.48,358.41,-931.04,1310.94,738.31,94.20,1265.11,-250.62,-192.19,102.36,178.17,1293.99,1881.85,2629.61,3067.33,-3121.68,-2852.58,-2401.73,-1822.34,335.63,412.92,62.28,30672.14
Aeonx Digital,524594,,Trading,135.00,-3.51,-0.32,6.31,1.87,4.66,6.09,11.02,0.06,0.34,5.87,-1.60,4.61,1.48,6.45,-0.40,8.37,11.65,,-2.42,2.77,7.76,,,5.76,7.47,3.89,7.85,2.85,3.06,62.10
Aeroflex,543972,AEROFLEX,Steel - Medium / Small,162.50,43.91,6.22,-34.90,90.30,99.30,6.18,105.49,-2.20,7.26,-9.55,0.16,-2.13,8.31,6.18,22.86,43.61,39.55,,83.39,108.26,105.69,,,-63.54,-62.05,-57.83,3.42,2.67,,2101.48
Aerpace Indus,534733,,Trading,30.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.46
Aether Industri.,543534,AETHER,Chemicals,922.75,-16.46,-444.21,-423.93,893.76,453.37,102.29,555.65,-363.21,-6.56,-348.36,439.20,84.27,18.02,102.29,-964.60,,,,-28.46,,,,,,,-923.23,,,,12231.07
Affle India,542752,AFFLE,Computers - Software - Medium / Small,1354.60,262.28,146.66,-577.29,783.19,468.18,332.01,1236.55,168.13,260.30,-185.56,-59.05,15.70,316.32,645.71,448.23,541.53,606.90,,728.56,902.20,991.86,,,-1732.35,-1653.52,-1316.64,63.25,30.49,,18992.72
Affordable Robo.,541402,,Engineering,559.00,-2.01,-3.84,-39.58,42.77,1.18,2.04,2.04,1.45,3.26,-1.88,-1.60,-0.22,2.26,2.04,-2.63,-2.66,-31.50,,2.87,10.19,1.34,,,-72.21,-51.15,-44.91,2.35,3.03,1.74,628.65
AFLOAT Enterpris,543377,,Trading,12.00,-0.39,-0.39,0.38,0.00,-0.01,0.03,0.03,-0.64,-0.64,0.63,0.00,-0.01,0.05,0.03,-4.06,-2.38,,,-4.05,-2.30,,,,,-2.69,1.43,0.64,0.03,,5.47
Agarwal Float,,AGARWALFT,Trading,65.15,-0.81,-0.94,-0.11,0.98,0.06,0.66,0.66,-5.02,-4.99,-0.02,5.27,0.26,0.40,0.66,-4.56,-13.59,,,-4.36,-12.87,,,,,-0.68,-0.16,0.01,,,47.19
Agarwal Fortune,530765,,Trading,23.25,-0.12,-0.12,0.00,-0.08,-0.20,0.24,0.04,-0.15,-0.14,-0.01,0.11,-0.04,0.28,0.24,-0.71,-1.23,-1.31,-1.53,-0.70,-1.22,-1.30,-1.52,3.43,3.31,2.23,1.23,0.01,0.00,0.03,8.16
Agarwal Indl.,531921,AGARIND,Petrochemicals,1170.95,112.28,-157.72,-276.42,177.53,13.40,29.31,62.29,9.44,156.67,-158.32,-15.42,-17.07,46.38,33.53,-148.28,-151.95,-135.73,-164.35,333.63,432.57,470.60,473.57,-662.46,-625.15,-601.54,-503.97,32.31,3.45,5.90,1751.48
AGI Greenpac,500187,AGI,Packaging,703.90,588.39,320.22,-351.65,-234.65,2.09,230.18,360.95,243.46,522.52,221.96,-554.07,190.41,39.77,279.25,283.11,519.45,245.02,640.41,1291.67,1747.19,2054.54,2835.52,-1663.83,-1170.61,-700.00,-477.53,23.41,39.34,143.82,4554.07
AGI Infra,539042,,Construction,853.95,61.46,27.58,-88.08,81.43,54.82,45.48,100.30,83.96,66.62,-53.97,1.48,14.14,31.35,45.48,179.26,260.12,238.93,,234.46,328.14,327.36,,,-267.27,-230.84,-218.31,16.94,10.90,4.12,1043.27
Agio Paper,516020,,Paper,4.30,-0.14,-0.14,0.00,0.21,0.07,0.01,0.10,-0.52,-0.52,0.00,0.48,-0.04,0.04,0.03,-1.18,-2.33,2.80,0.28,-1.18,-2.33,-3.89,-6.43,6.98,6.71,0.00,0.00,0.04,0.06,0.08,6.94
Agni Green,,AGNI,Electric Equipment,52.35,-0.02,-0.34,-0.15,-2.51,-2.68,2.68,2.68,-1.42,-1.40,0.11,1.23,-0.06,2.75,2.68,0.26,-1.76,,,0.63,-1.34,,,,,-0.34,0.05,0.88,4.47,1.91,102.26
Agri-Tech India,537292,AGRITECH,Miscellaneous,198.15,-10.66,-10.36,19.44,-8.47,0.30,0.33,0.63,-1.03,-1.55,-3.06,4.93,0.32,0.00,0.33,-30.29,-41.97,-55.73,-31.14,-31.16,-42.27,-76.95,-72.76,80.98,80.39,45.66,48.50,0.05,0.06,0.01,117.71
Agro Phos India,,AGROPHOS,Fertilizers,47.47,2.82,1.49,-1.57,-1.29,-0.04,0.14,0.70,-10.89,-6.48,-6.69,12.20,-0.97,1.10,2.81,-2.88,6.06,7.40,0.18,10.23,22.38,24.45,18.15,-19.15,-15.88,-20.47,-17.93,1.01,1.04,3.42,96.24
Agro Tech Foods.,500215,ATFL,Food - Processing - Indian,726.50,62.61,25.71,-37.32,-18.93,6.36,6.72,14.12,-18.88,22.38,-43.04,21.96,1.31,5.42,7.17,-52.95,-66.64,-20.35,2.18,55.26,160.51,252.17,374.07,-351.15,-251.89,-176.65,-91.12,12.07,4.86,4.36,1770.45
AGS Transact,543451,AGSTRA,Computers - Hardware,80.09,349.23,300.82,-15.17,-315.58,18.48,15.77,116.22,141.16,249.26,-126.18,-137.32,-14.24,30.02,94.01,683.26,1204.12,1568.89,,923.03,1786.62,2468.32,,,-927.12,-600.43,-153.43,694.21,38.11,21.06,979.13
Ahasolar Technol,543941,,Trading,331.00,-1.42,-2.86,-7.77,11.69,2.50,0.44,0.48,-0.72,-0.27,-0.44,0.92,0.21,0.23,0.48,-3.91,-4.04,,,-1.48,-1.58,,,,,-8.77,-8.74,0.12,0.00,,102.03
Ahimsa Industrie,,AHIMSA,Plastics Products,18.90,1.19,1.18,-0.24,-0.94,0.01,0.20,0.20,0.93,0.75,-0.05,-1.07,-0.37,0.57,0.20,4.21,7.24,10.21,9.95,4.37,7.79,13.12,18.12,-14.78,-6.52,-2.29,-0.96,2.38,1.09,1.66,10.35
Ahlada Engineers,,AHLADA,Steel - Medium / Small,116.60,-0.20,-3.92,-3.65,4.04,0.19,0.01,2.49,3.92,8.16,-3.92,-4.26,-0.02,0.02,1.75,35.48,42.58,-14.49,,44.64,102.25,111.44,,,-136.11,-65.62,-8.91,5.50,1.42,1.59,150.67
Ahluwalia Contr.,532811,AHLUCONT,Construction,1243.10,257.45,144.63,-309.61,20.72,-31.44,365.94,780.34,197.91,301.31,-165.75,-16.05,119.51,246.44,588.07,381.39,678.56,798.46,1031.20,624.51,993.22,1159.93,1455.90,-745.11,-732.24,-669.80,-576.05,417.63,209.26,122.56,8327.21
Ahm. Steelcraft,522273,,Trading,105.30,-0.43,4.62,3.55,-0.02,3.10,0.15,4.88,-1.88,-1.90,1.89,-0.01,-0.02,0.17,1.80,1.73,-1.63,-7.32,-9.14,-3.38,-5.72,-10.34,-11.70,14.37,13.99,8.21,6.12,0.37,2.38,1.72,43.07
AI Champ.Inds.,532806,,Textiles - Jute - Yarn / Products,56.90,-29.07,-29.20,16.21,12.96,0.09,0.10,0.62,52.96,-12.66,69.30,-56.82,-0.18,0.28,5.19,27.07,8.39,30.61,44.38,-42.47,-52.56,-22.70,-12.80,148.24,143.90,97.27,105.40,0.49,0.69,0.53,174.99
AIA Engineering,532683,AIAENG,Castings & Forgings,4224.55,902.72,693.17,-818.51,-210.98,-126.77,307.48,553.60,675.34,867.72,-1211.95,395.00,50.77,256.71,805.99,1203.97,2227.67,2375.72,3069.29,1731.22,3008.81,3492.69,4625.29,-3671.60,-2949.41,-2590.62,-1929.15,1395.45,216.32,247.79,39846.12
Aik Pipes & Poly,544072,,Plastics Products,129.00,-10.44,-11.94,-1.56,12.10,0.09,0.40,0.49,-2.48,-0.56,-1.92,2.43,-0.05,0.45,0.40,-15.29,-16.61,,,-11.65,-12.36,,,,,-4.33,-3.70,0.67,,,82.08
Aimco Pesticides,524288,,Pesticides / Agrochemicals - Indian,100.00,7.10,0.15,-6.93,1.88,2.05,1.17,3.82,-17.45,-11.13,-2.29,10.51,-2.91,4.07,1.75,0.36,0.19,-0.40,-2.30,18.56,29.60,38.72,45.47,-47.31,-38.88,-29.22,-18.12,4.20,3.70,0.44,95.83
Aimtron,,AIMTRON,Electronics - Components,573.00,6.71,2.74,-1.82,-1.39,3.50,0.65,0.65,-10.25,-8.43,-1.76,9.97,-0.22,0.87,0.65,-21.66,,,,6.12,,,,,,,-25.49,7.56,,,1169.71
Aion-Tech Soluti,531439,GOLDTECH,Computers - Software - Medium / Small,144.85,3.63,-1.23,-7.85,3.96,-0.27,0.80,20.41,-16.90,-10.61,4.35,6.26,0.01,0.79,16.43,-10.88,-11.71,-21.95,-14.13,0.68,0.14,-9.36,-0.77,-38.61,-38.69,-38.23,-38.46,2.03,5.15,15.04,500.92
Airan,543811,AIRAN,Computers - Software - Medium / Small,31.98,2.77,-8.60,-9.33,-4.40,-10.95,18.95,8.00,1.39,21.81,-14.89,-1.12,5.80,13.14,18.95,0.83,-1.68,-2.08,,35.57,46.52,54.67,,,-53.09,-40.63,-31.43,1.50,2.70,12.16,399.83
Airo Lam,,AIROLAM,Miscellaneous,139.70,-0.36,-12.90,-12.57,10.69,-2.24,2.56,1.77,6.84,8.66,-4.89,-4.14,-0.37,2.93,4.74,-14.82,-19.28,-26.94,-24.69,2.34,27.16,24.56,29.35,-57.93,-55.75,-49.62,-21.46,4.78,1.92,0.59,209.57
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals - Indian - Formulations,2289.85,785.07,646.04,65.39,-1051.06,-200.60,329.83,130.77,618.35,792.11,-559.60,-108.20,124.31,206.36,330.90,1695.64,2340.79,2391.48,2909.37,2138.89,3171.97,3827.60,5042.46,-2304.52,-1553.98,-1075.09,-568.31,209.61,100.51,69.95,28833.28
Ajanta Soya,519216,,Miscellaneous,31.62,25.12,16.85,-16.71,-4.97,3.44,0.14,30.57,-14.53,-23.38,20.23,-1.73,-4.87,5.02,21.67,20.94,57.13,10.42,24.30,29.94,72.86,49.88,66.73,-56.60,-37.85,-43.81,-21.12,21.37,19.07,22.76,254.47
Ajcon Global,511692,,Finance & Investments,33.05,-0.15,-0.23,-0.08,-0.77,-1.00,2.44,1.44,-1.18,-0.94,-0.24,1.10,-0.08,2.52,2.44,1.49,8.81,22.13,27.27,1.99,9.75,23.20,29.04,-15.61,-14.75,-0.94,-0.50,2.29,0.86,1.69,20.23
Ajel,530713,,Computers - Software - Converts,15.00,-0.91,-0.92,0.41,0.57,0.07,0.23,0.30,-0.30,-0.30,0.00,0.36,0.05,0.18,0.23,-1.76,-1.71,-1.80,-2.61,-1.75,-1.70,-1.87,2.85,-5.02,0.49,0.41,0.41,0.59,0.53,0.86,17.48
Ajmera Realty,513349,AJMERA,Construction,679.10,219.75,217.07,-71.75,-97.33,50.67,27.15,116.76,132.62,137.00,-46.97,-86.15,3.88,23.27,40.26,283.71,437.51,-32.10,75.43,293.14,475.99,14.51,124.98,-102.22,-97.19,-88.31,-90.18,42.68,27.69,22.30,2409.46
Ajooni Biotech,,AJOONI,Food - Processing - Indian,5.44,-3.95,-9.52,7.64,-3.57,0.12,0.31,0.43,-8.44,-5.58,-15.82,21.66,0.25,0.06,0.31,-16.30,-24.45,-32.29,-36.07,-5.85,-9.07,-16.63,-20.04,-14.84,-12.06,-13.02,-10.08,0.24,0.73,0.10,93.69
Ajwa Fun World,526628,,Recreation / Amusement Parks,38.39,0.02,-0.23,-0.25,0.12,-0.11,0.21,0.09,4.25,4.07,0.18,-4.71,-0.47,0.67,0.21,5.77,5.23,7.53,5.76,5.84,5.31,7.85,6.84,-2.16,-1.40,0.00,-0.09,0.83,0.67,0.23,24.53
Akanksha Power,,AKANKSHA,Electric Equipment,130.20,-22.93,-27.18,-6.60,26.25,-3.28,4.17,,-2.99,4.02,-7.47,6.94,3.49,0.68,,,,,,,,,,,,,,,,,241.10
Akar Auto Indust,530621,,Auto Ancillaries,101.50,9.91,-7.67,-17.34,6.95,-0.49,3.85,3.36,16.46,24.56,-7.92,-15.86,0.78,3.07,3.85,23.88,30.49,33.44,38.51,49.94,64.63,80.73,99.89,-56.26,-43.82,-31.01,-24.84,2.09,1.88,1.54,109.51
Akash InfraProj.,,AKASH,Construction,33.48,-22.68,-24.80,-1.03,23.51,-0.20,0.59,5.69,-33.87,-33.48,0.51,33.37,0.40,0.19,5.94,-60.46,-60.47,-91.17,-77.21,-57.42,-57.77,-84.21,-65.44,6.52,15.20,6.49,4.66,11.77,15.71,16.10,56.46
AKG Exim,,AKG,Trading,22.23,-3.04,-4.91,-1.18,-3.04,-7.25,10.22,2.97,-18.55,-18.25,0.07,26.16,7.99,2.23,10.22,-24.23,-5.91,,,-21.44,-11.80,,,,,8.40,-0.62,0.10,,,70.63
AKI India,542020,AKI,Leather / Leather Products,25.74,-17.59,-22.55,-17.80,35.65,0.27,1.44,1.71,1.39,3.67,-2.40,-1.10,0.17,1.27,1.44,-21.45,-27.24,-24.84,,-13.16,-10.70,-7.56,,,-28.76,-29.24,-21.19,1.16,1.00,0.99,220.74
AKM Creations,540718,,Trading,121.70,0.25,0.24,-13.76,14.55,1.04,0.37,1.41,3.38,3.44,-5.88,2.48,0.03,0.34,0.37,2.99,3.91,-0.12,-0.80,2.99,4.00,-0.03,-0.38,-20.23,-20.46,-19.31,-18.69,0.10,0.13,0.14,158.36
Akme Fintrade,544200,AFIL,Finance & Investments,119.95,23.61,10.40,-14.96,-2.02,6.63,0.74,10.32,63.15,63.10,1.60,-74.56,-9.86,10.60,1.92,159.09,,,,172.58,,,,,,,-11.49,7.01,,,511.89
Aksh Optifibre,532351,AKSHOPTFBR,Cables - Telephone,8.20,46.03,25.87,-19.37,-27.67,-1.02,4.80,20.79,42.15,46.33,-3.02,-44.82,-1.51,6.32,6.54,123.24,292.71,178.28,219.81,149.29,334.09,448.25,599.62,-380.98,-278.57,-60.70,-21.10,21.34,17.14,10.14,133.40
Akshar Spintex,541303,AKSHAR,Textiles - Cotton/Blended,2.62,4.77,0.16,-4.50,-0.27,-0.01,0.02,0.01,9.61,9.84,-0.18,-9.69,-0.03,0.05,0.02,11.30,24.59,34.86,10.08,17.53,31.46,47.27,74.45,-65.23,-12.13,-6.25,-5.63,0.09,0.13,0.10,78.60
AksharChem (I),524598,AKSHARCHEM,Dyes And Pigments,324.80,-6.55,-23.34,-16.40,22.97,0.01,0.15,2.60,29.44,37.92,-8.40,-29.51,0.01,0.14,1.74,-14.13,-30.05,-104.09,-49.93,35.68,111.27,132.42,215.00,-239.42,-183.13,-117.74,-48.58,3.10,2.21,4.28,260.92
Akzo Nobel,500710,AKZOINDIA,Paints / Varnishes,2865.60,485.90,367.40,-86.00,-439.40,-39.50,313.60,523.20,381.70,486.00,-14.80,-301.70,169.50,144.10,563.20,806.90,1388.50,1565.70,1974.70,1093.10,1750.40,2072.10,2634.00,396.80,88.90,-90.70,129.60,732.50,61.60,34.00,13050.02
Alacrity Sec.,535916,,Finance & Investments,92.90,0.45,0.32,-9.11,8.23,-0.42,7.05,7.05,0.94,1.09,-1.48,-0.90,-1.28,8.33,7.05,0.96,-1.47,1.45,5.40,1.41,-0.90,1.66,6.14,-7.60,-6.93,-9.63,-9.99,8.95,13.77,10.47,224.45
Alan Scott Inds.,539115,,Textiles - Products,81.30,-3.91,-4.59,-3.05,9.33,2.37,0.14,2.51,-6.05,-1.57,-3.48,4.72,-0.33,0.47,0.14,-12.79,,,,-7.06,,,,,,,-7.48,1.27,,,29.02
Alankit,531082,ALANKIT,Computers - Software - Medium / Small,20.99,9.60,-0.98,-79.85,121.71,51.46,16.81,68.27,-76.48,-49.40,-18.99,62.75,-5.64,22.45,16.81,-103.80,-122.16,-110.63,-120.96,-38.20,-49.95,-3.63,18.56,-207.92,-173.50,-124.64,-126.09,7.43,22.84,14.84,569.13
Albert David,524075,ALBERTDAVD,Pharmaceuticals - Indian - Bulk Drugs & Formln,1339.95,45.50,34.63,-33.25,-8.27,3.98,1.45,31.16,5.69,10.52,-4.98,-6.36,-0.83,2.28,25.22,72.10,122.61,199.17,279.89,96.43,163.29,225.17,340.90,-247.89,-164.35,-134.45,-77.85,35.37,7.13,14.79,765.06
Alchemist Corp.,531409,,Trading,12.70,-0.02,-0.02,0.00,-0.02,-0.03,0.04,0.01,0.20,0.20,0.00,-0.16,0.04,0.00,0.04,-1.45,-3.44,-3.41,-5.59,-1.64,-3.63,-3.60,-5.77,5.74,3.94,3.94,1.90,0.02,0.03,0.02,6.24
Alembic,506235,ALEMBICLTD,Construction,112.85,22.69,-33.32,25.84,-48.19,0.34,0.93,2.46,14.11,38.85,7.30,-46.39,-0.24,1.17,1.90,-70.58,-135.16,-122.40,-51.85,43.79,48.15,93.24,176.48,72.87,119.64,73.84,51.99,6.57,2.01,2.32,2897.78
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,912.50,803.20,487.29,-320.61,-437.86,44.73,75.48,126.57,282.41,723.95,-447.60,-261.96,14.39,61.09,82.27,897.79,1416.77,970.71,1913.58,2079.50,3992.02,5116.40,6564.37,-5399.52,-4351.19,-2711.14,-1140.18,105.84,205.62,159.60,17936.40
Alexander Stamps,511463,,Trading,14.93,-0.02,-0.02,0.00,-0.01,-0.03,0.05,0.03,-0.05,0.00,-0.05,0.07,0.02,0.03,0.05,-0.78,-0.60,-1.05,-0.44,-0.67,-0.49,-0.93,-0.32,-0.59,-0.28,-0.29,-0.29,0.31,0.17,0.06,13.91
Alfa Ica (I),530973,,Miscellaneous,63.50,5.21,2.72,-2.48,-2.47,0.25,0.17,0.53,3.99,5.75,-1.75,-4.02,-0.03,0.20,0.28,3.64,10.87,7.47,11.59,9.62,19.53,20.36,29.72,-17.97,-12.81,-8.62,-5.96,0.26,0.12,3.26,25.66
Alfa Transformer,517546,,Electric Equipment,93.36,-0.08,-0.43,0.02,0.03,-0.03,0.02,2.91,-2.40,-2.28,-0.56,2.85,0.01,0.01,2.90,-3.44,-7.06,-11.95,-13.10,-2.94,-4.62,-8.46,-9.77,-2.34,-2.82,1.77,0.33,3.06,6.17,2.35,85.43
Alfavision Overs,531156,,Miscellaneous,11.55,-9.72,-9.72,1.13,8.64,0.05,0.12,0.17,1.36,1.38,-16.01,13.90,-0.72,0.84,0.12,-5.84,-23.27,-24.06,-25.32,-5.82,-23.01,-23.42,-24.34,-97.82,-97.75,-95.29,-96.45,0.13,0.14,0.04,36.41
Alfred Herbert,505216,,Finance & Investments,1538.00,-0.17,-2.44,0.61,-0.48,-0.04,0.15,1.32,-4.21,0.48,-0.19,-0.41,-0.12,0.27,1.37,-10.16,-18.56,-20.46,-14.04,0.34,0.18,2.29,-2.03,4.03,2.44,2.61,0.98,1.38,0.91,0.92,118.43
Algoquant Fin,505725,,Finance & Investments,1210.50,-0.83,-5.22,14.14,-14.29,-0.98,2.89,2.23,-38.02,-37.20,9.36,29.17,1.32,1.57,3.20,-24.23,-41.87,-11.36,-2.82,-17.84,-37.71,-67.24,-58.60,67.81,67.69,25.37,5.45,0.36,0.14,0.02,972.76
Alicon Cast.,531147,ALICON,Castings & Forgings,1247.65,157.36,47.70,-106.95,-51.11,-0.70,11.81,11.21,4.99,86.85,-81.66,-4.22,0.98,10.83,11.95,55.84,106.48,90.36,47.53,321.39,490.63,633.03,790.87,-730.08,-533.86,-374.90,-260.34,18.87,12.44,15.76,2028.92
Alkali Metals,533029,ALKALI,Chemicals,151.70,6.29,4.60,-1.64,-5.71,-1.06,1.10,0.23,8.05,11.19,-3.14,-8.96,-0.91,2.01,1.31,20.98,24.37,32.37,49.97,28.67,39.42,50.82,72.45,-21.62,-18.10,-14.88,-7.62,0.95,1.10,1.12,154.43
Alkem Lab,539523,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,4975.30,1948.07,1761.26,-1008.50,-1145.01,-205.44,273.80,1579.35,1452.79,1682.50,119.94,-1760.82,41.62,232.18,2616.89,3997.09,5350.08,5191.80,5691.03,4741.59,6591.57,7637.26,9159.68,-5046.13,-4722.29,-4053.40,-2321.19,1990.45,661.60,399.26,59487.18
Alkosign,543453,,Printing & Stationery,114.00,-0.81,-2.40,-1.57,8.05,5.68,0.88,0.88,-7.09,-2.74,-4.70,2.86,-4.58,5.46,0.88,-12.03,,,,-4.30,,,,,,,-8.20,0.11,,,82.02
Alkyl Amines,506767,ALKYLAMINE,Chemicals,2153.05,274.97,152.92,-121.47,-140.32,13.19,17.18,31.38,-54.61,248.38,-277.05,7.99,-20.68,37.86,18.23,56.83,375.36,417.25,502.26,728.03,1279.70,1525.51,1751.03,-1187.17,-1056.43,-857.46,-604.19,126.04,20.17,2.96,11008.79
