Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization
Add-Shop E-Reta.,541865,,Trading,15.58,-28.66,-28.77,18.61,10.77,0.72,0.43,1.15,-44.84,-44.75,-0.92,45.01,-0.66,1.09,0.43,-67.68,-71.58,-77.29,,-64.70,-66.68,-69.11,,,9.48,13.00,14.91,0.52,0.24,0.13,44.11
Addi Industries,507852,,Textiles - Products,50.07,-8.75,-8.86,10.26,-1.42,0.10,0.17,57.42,13.15,-4.38,4.40,-0.05,-0.04,0.21,62.32,38.96,43.84,42.32,,-20.98,-10.08,-11.75,,,13.40,11.57,22.63,8.86,4.67,,54.06
Addictive Learn,,LAWSIKHO,Miscellaneous,307.30,18.21,-3.51,-29.32,58.91,47.80,1.71,1.71,1.23,1.39,-0.15,0.16,1.40,0.30,1.71,-2.64,-2.24,,,19.39,19.87,,,,,-29.57,-29.49,0.44,,,488.91
Adeshwar Meditex,543309,,Healthcare,27.00,3.84,3.84,-0.22,-4.36,-0.75,1.90,1.90,4.73,5.93,-1.16,-4.78,-0.02,1.92,1.90,4.96,6.62,,,7.33,9.49,,,,,-1.67,-2.54,1.07,1.20,,38.96
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,242.20,69.84,54.53,16.39,-63.41,22.81,39.88,67.78,23.97,50.52,-60.07,-4.82,-14.36,54.24,63.49,78.11,131.12,165.90,188.34,154.45,221.02,264.91,302.91,-126.44,-140.89,-143.77,-96.36,64.70,18.41,13.67,2660.89
Adhbhut Infra.,539189,,Construction,29.07,0.31,0.31,0.02,0.00,0.33,0.11,0.44,0.05,0.05,0.00,0.00,0.04,0.07,0.11,0.37,0.49,-0.54,8.06,0.37,0.49,-0.54,8.06,-9.29,0.02,0.02,0.02,0.06,0.04,1.06,31.98
Adinath Exim Res,532056,,Finance & Investments,23.88,-0.11,-0.11,0.13,0.00,0.02,0.00,0.02,0.53,0.53,-0.89,0.00,-0.36,0.36,0.00,0.37,-5.74,-4.88,-3.93,0.37,-5.34,-4.48,-3.51,11.18,8.50,5.34,-0.36,0.01,0.02,0.02,10.31
Adinath Textiles,514113,,Textiles - Spinning - Synthetic / Blended,25.92,-1.48,-1.49,1.58,-0.04,0.06,0.16,0.21,-1.04,-1.04,1.01,-0.45,-0.48,0.64,0.16,-3.85,-5.80,-8.55,-9.32,-3.82,-6.03,-8.44,-8.98,11.52,8.36,6.35,3.96,0.56,0.53,1.27,17.66
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,164.80,-443.78,-452.06,-4.10,402.50,-45.38,62.49,889.51,-83.94,-76.51,-3.76,106.05,25.78,36.70,564.80,-821.72,-723.52,-1043.72,-1044.57,-804.34,-702.72,-1018.72,-1011.87,-19.70,-4.96,-6.43,-7.54,405.13,241.19,74.10,931.27
Aditya AMC,543374,ABSLAMC,Finance & Investments,648.00,684.84,654.76,-510.74,-168.61,5.49,33.61,84.82,418.70,437.35,-134.31,-334.67,-31.64,65.25,126.63,1620.65,2603.05,3227.95,,1685.37,2694.63,3355.99,,,-1356.28,-1349.44,-943.54,56.84,38.50,25.91,18668.84
