Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization
Conart Engineers,522231,,Construction,149.00,31.08,9.52,94.28,12.89,8.58,-2.93,13.28,19.23,59.13,8.21,7.61,18.86,94.28,12.89,12.63,41.73,13.36,42.37,0.01,1.48,1.39,1.85,1.81,46.79
Concord Biotech,543960,CONCORDBIO,Pharmaceuticals - Indian - Bulk Drugs & Formln,1532.75,18.13,18.46,8.54,20.28,19.20,19.20,,,10.52,18.23,,,-51.19,-25.54,,,,,,217.19,,292.09,,16035.06
Concord Control,543619,,Electric Equipment,1259.45,55.97,36.95,112.44,78.98,32.98,32.98,,,103.44,72.10,,,-31.56,-9.29,,,,,,4.70,,6.44,,753.41
Concord Drugs,538965,,Pharmaceuticals - Indian - Bulk Drugs & Formln,38.90,-5.54,-2.09,1.64,0.48,-0.02,-0.02,-3.97,2.45,3.58,-0.27,-5.76,0.97,-2.81,-4.24,9.62,-1.11,14.78,2.14,11.03,0.73,0.70,2.56,2.97,38.90
Concrete Infra,539266,,Trading,3.10,,,57.07,35.10,-21.77,-72.97,32.79,55.89,66.61,40.63,54.49,26.51,57.07,35.10,47.24,22.32,47.24,22.32,0.00,0.10,0.05,0.14,0.08,2.33
Confidence Fut.,539991,,Trading,108.00,399.67,,847.27,,128.54,128.54,,,365.47,,,,414.12,,,,,,4.88,,,,,270.22
Confidence Petro,526829,CONFIPET,Miscellaneous,81.11,46.22,21.85,27.07,8.70,22.11,22.17,27.34,25.95,44.89,23.50,36.34,25.53,22.43,5.53,49.29,46.06,53.71,49.08,-1.19,77.14,47.78,127.37,82.48,2575.36
Cons. Finvest,,CONSOFINVT,Finance & Investments,197.94,61.81,42.93,75.47,122.71,7.16,7.21,33.22,30.97,67.45,82.01,74.67,35.79,75.47,122.66,-14.07,30.19,-14.06,30.21,3.35,74.83,55.56,96.65,53.77,640.63
Consecutive In&T,539091,,Finance & Investments,41.60,,,-7.17,-9.25,-33.33,-57.14,,,23.86,7.89,-7.18,,-33.02,-25.39,-28.68,,-17.97,,0.00,0.10,0.12,0.13,0.13,33.31
Constronics,523844,,Trading,57.55,-20.46,6.96,122.40,106.99,-6.10,-6.10,,,129.74,111.68,40.85,31.53,122.40,106.99,38.95,30.20,38.95,30.20,-5.95,0.19,0.05,0.20,0.06,72.11
Cont. Chemicals,506935,,Computers - Software - Medium / Small,74.89,30.27,17.19,54.87,8.87,-4.55,-4.55,-4.97,-3.18,35.41,13.63,27.70,18.67,54.87,,,,44.26,31.10,0.00,0.21,0.18,0.29,0.23,16.85
