Name,BSE Code,NSE Code,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,52w Index,Down from 52w high,Up from 52w low,From 52w high,Mkt Cap To Debt Cap,Dividend Payout Ratio,Graham,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Altman Z Score,Market cap to quarterly profit,Market Capitalization
R R Kabel,543981,RRKABEL,Cables - Power,1759.25,3.01,111.88,38.35,2.12,8.52,2.36,20.51,10.63,7.38,1824.33,3.01,8.52,43.83,0.04,1.21,2050.75,7.72,0.22,1.51,22.79,486.84,-1.51,0.00,81.21,7.57,54.75,0.92,7.70,22.79,309.50,58.54,17.85,728.46,119.91,58.55,15.37,252.93,19847.60
R R Securities,530917,,Finance & Investments,12.00,,-60.00,37.60,393.00,,1.03,,-75.00,,4.60,,,37.60,0.11,1.40,3.92,-1.28,0.03,1.03,0.00,6.36,-3.87,0.00,67.59,18.37,88.38,0.82,-3.91,0.00,10.66,-60.00,0.06,28.60,13.07,-60.33,3.63,362.00,3.62
R S Software (I),517447,RSSOFTWARE,Computers - Software - Medium / Small,240.00,10.36,177.24,25.63,3.34,74.28,1.63,64.34,-19.83,-5.54,48.64,10.36,74.28,32.07,-0.01,0.08,48.30,8.31,0.04,1.15,0.00,32.65,3.37,0.02,77.73,19.62,576.06,0.80,-6.11,0.00,54.76,38.91,-0.85,432.55,14.91,38.93,17.88,91.95,616.99
R Systems Intl.,532735,RSYSTEMS,Computers - Software - Medium / Small,528.25,3.68,59.84,23.60,1.70,19.49,2.11,19.11,-40.07,0.08,611.44,3.68,19.49,30.83,0.08,0.94,951.37,13.01,0.21,1.76,57.41,218.19,1.93,0.04,68.96,11.81,42.37,0.88,4.27,57.41,113.81,29.57,30.97,487.11,27.41,29.57,10.34,227.33,6249.42
R&B Denims,538119,,Textiles - Cotton/Blended,69.89,1.80,38.88,13.03,2.40,6.61,0.70,37.86,26.62,14.61,161.91,1.80,6.61,19.17,0.04,2.37,230.55,8.92,0.32,1.36,0.00,28.52,-7.63,0.01,87.65,8.02,162.15,0.92,2.24,0.00,31.45,25.82,20.91,112.65,14.68,25.81,6.46,87.95,628.81
Raaj Medisafe,524502,,Packaging,93.00,2.45,-375.44,20.25,1.37,3.58,0.94,35.48,-11.32,-9.20,9.18,2.45,3.58,23.49,-0.14,4.80,25.20,-1.34,1.75,3.03,0.00,25.74,-15.68,0.00,83.91,11.30,198.08,0.89,16.61,0.00,23.47,596.29,26.44,353.34,13.52,598.35,9.02,108.21,101.72
Raasi Refractor,502271,,Refractories / Intermediates,34.68,0.40,2.33,12.90,0.94,1.10,-1.94,31.49,98.99,71.78,-13.32,0.40,1.10,16.88,-0.23,97.97,21.56,47.49,-2.57,-3.77,0.00,,-197.12,0.11,57.87,36.65,387.08,0.63,0.17,0.00,,22.33,14.23,,27.02,22.37,1.33,-816.50,16.33
Race Eco,537785,RACE,Trading,439.10,2.08,,117.30,1.27,1.94,,15.04,-77.55,17.18,22.21,2.08,1.94,133.74,,27.43,63.10,,1.92,2.97,0.00,28.08,-5.83,0.00,76.66,12.87,94.21,0.87,,0.00,16.94,-84.42,11.32,14927.81,31.86,-84.59,19.46,6559.55,721.55
Rachana Infra.,,RILINFRA,Construction,76.20,1.55,148.67,15.88,3.70,2.75,-8.02,69.13,241.18,142.97,93.81,1.55,2.75,21.36,0.07,4.25,75.18,0.93,0.36,1.27,0.00,33.03,-23.09,0.01,42.54,46.58,182.22,0.53,5.44,0.00,47.05,12.37,7.26,58.97,34.00,12.37,4.34,,141.78
RACL Geartech,520073,,Auto Ancillaries,1171.95,3.03,-32.46,15.22,1.09,3.27,1.02,47.91,-32.15,0.38,205.27,3.03,3.27,20.05,-0.14,7.26,510.14,-9.02,1.41,2.50,4.06,651.53,-22.80,0.00,31.31,23.15,15.92,0.77,2.84,4.06,397.71,36.03,19.24,196.66,185.13,35.97,5.55,150.06,1263.52
