Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Agro Tech Foods.,500215,ATFL,Food - Processing - Indian,726.50,8.95,201.98,13.19,0.04,13.23,5.52,7.71,0.99,6.72,1.70,5.02,0.00,5.02,6.53,2.49,24.37,2.06,1770.45
AGS Transact,543451,AGSTRA,Computers - Hardware,80.17,57.57,424.72,73.27,10.21,83.48,57.17,26.31,39.10,-12.79,2.57,-15.36,0.00,-15.36,17.25,-3.62,120.17,-1.26,980.11
Ahasolar Technol,543941,,Trading,331.00,-0.77,11.03,1.51,,,,,,,,,,1.43,,,,6.32,102.03
Ahimsa Industrie,,AHIMSA,Plastics Products,18.90,0.09,8.63,-0.03,,,,,,,,,,-0.48,,,,-0.88,10.35
Ahlada Engineers,,AHLADA,Steel - Medium / Small,116.50,8.23,49.54,10.06,0.07,10.13,3.31,6.82,0.91,5.91,2.78,3.14,0.00,3.14,20.31,6.34,12.92,2.43,150.54
Ahluwalia Contr.,532811,AHLUCONT,Construction,1240.80,111.85,863.05,110.20,8.91,119.11,10.25,108.86,11.19,97.67,25.51,72.16,0.00,72.16,12.77,8.36,13.40,10.77,8311.81
Ahm. Steelcraft,522273,,Trading,105.30,-0.30,0.59,-0.29,0.44,0.15,0.04,0.11,0.00,0.11,0.01,0.10,0.00,0.10,-49.15,16.95,4.09,0.24,43.07
AI Champ.Inds.,532806,,Textiles - Jute - Yarn / Products,57.00,7.92,16.55,-33.74,53.82,20.08,0.58,19.50,1.86,17.64,-3.18,20.80,0.00,20.83,-203.87,125.86,15.38,6.76,175.30
AIA Engineering,532683,AIAENG,Castings & Forgings,4216.05,311.22,1273.57,315.74,63.81,379.55,23.25,356.30,9.89,346.41,78.75,267.66,0.00,267.66,24.79,21.02,18.86,28.43,39765.95
Aik Pipes & Poly,544072,,Plastics Products,127.00,,,,,,,,,,,,,,,,,,80.81
Aimco Pesticides,524288,,Pesticides / Agrochemicals - Indian,100.00,-0.58,41.57,-3.85,0.09,-3.76,0.95,-4.71,1.67,-6.38,-1.63,-4.75,0.00,-4.75,-9.26,-11.43,9.58,-4.96,95.83
Aimtron,,AIMTRON,Electronics - Components,573.00,11.32,,,,,,,,,,,,,,,,,1169.71
Aion-Tech Soluti,531439,GOLDTECH,Computers - Software - Medium / Small,144.85,0.06,26.39,-0.21,0.29,0.08,0.45,-0.37,0.26,-0.63,0.09,-0.72,0.00,-0.72,-0.80,-2.73,34.58,-0.21,500.92
Airan,543811,AIRAN,Computers - Software - Medium / Small,31.48,4.47,25.70,5.07,0.36,5.43,1.41,4.02,0.13,3.89,1.03,2.80,0.00,2.86,19.73,11.13,25.00,0.22,393.57
Airo Lam,,AIROLAM,Miscellaneous,139.88,5.21,52.21,5.54,-0.23,5.31,0.84,4.47,1.41,3.06,0.62,2.45,0.00,2.45,10.61,4.69,,1.63,209.84
Ajanta Pharma,532331,AJANTPHARM,Pharmaceuticals - Indian - Formulations,2288.90,314.07,881.84,149.37,36.83,186.20,33.02,153.18,1.13,152.05,29.80,122.25,0.00,122.25,16.94,13.86,17.17,9.54,28821.32
Ajanta Soya,519216,,Miscellaneous,31.60,2.00,277.66,0.63,0.54,1.17,0.29,0.88,0.90,-0.02,0.33,-0.36,0.00,-0.36,0.23,-0.13,16.10,-0.04,254.31
Ajcon Global,511692,,Finance & Investments,33.05,0.67,2.33,-0.03,-0.01,-0.04,0.10,-0.14,0.20,-0.34,-0.08,-0.24,0.00,-0.26,-1.29,-11.16,6.12,-0.39,20.23
Ajel,530713,,Computers - Software - Converts,15.00,-0.71,1.63,-0.05,0.00,-0.05,0.00,-0.05,0.01,-0.06,0.00,-0.06,0.00,-0.06,-3.07,-3.68,,-0.05,17.48
Ajmera Realty,513349,AJMERA,Construction,679.35,59.97,114.25,31.02,3.55,34.57,0.45,34.12,14.69,19.43,4.64,14.79,0.00,14.79,27.15,12.95,35.48,4.26,2410.34
Ajooni Biotech,,AJOONI,Food - Processing - Indian,5.46,-0.65,41.26,0.94,0.26,1.20,0.24,0.96,0.12,0.84,0.30,0.54,0.00,0.54,2.28,1.31,,0.03,94.03
Ajwa Fun World,526628,,Recreation / Amusement Parks,38.39,-0.21,0.78,0.13,0.00,0.13,0.05,0.08,0.03,0.05,0.00,0.05,0.00,0.05,16.67,6.41,6.39,0.08,24.53
Akanksha Power,,AKANKSHA,Electric Equipment,130.90,,,,,,,,,,,,,,,,,,242.40
Akar Auto Indust,530621,,Auto Ancillaries,100.45,6.47,101.68,6.80,0.05,6.85,1.05,5.80,3.29,2.51,-0.28,2.79,0.00,2.79,6.69,2.74,5.39,2.59,108.38
Akash InfraProj.,,AKASH,Construction,33.94,-1.23,13.29,1.89,0.15,2.04,0.27,1.77,1.67,0.10,0.10,0.01,0.00,0.01,14.22,0.08,16.86,0.01,57.23
AKG Exim,,AKG,Trading,22.29,0.83,58.20,1.28,0.36,1.64,0.12,1.52,0.30,1.22,0.26,0.97,0.00,0.97,2.20,1.67,10.59,0.31,70.82
AKI India,542020,AKI,Leather / Leather Products,25.23,0.45,14.52,0.86,0.50,1.36,0.48,0.88,0.67,0.21,-0.02,0.23,0.00,0.23,5.92,1.58,10.30,0.03,216.37
AKM Creations,540718,,Trading,121.70,0.12,13.23,0.05,0.03,-0.02,0.03,-0.05,0.00,-0.05,0.00,-0.04,0.00,0.20,-2.34,-1.87,,0.66,158.36
Akme Fintrade,544200,AFIL,Finance & Investments,113.20,,,,,,,,,,,,,,,,,,483.08
Aksh Optifibre,532351,AKSHOPTFBR,Cables - Telephone,8.15,3.03,79.57,12.54,-13.01,13.14,6.21,6.93,4.44,-11.12,2.31,-2.89,-13.61,-13.44,15.76,-3.63,81.35,-0.83,132.59
Akshar Spintex,541303,AKSHAR,Textiles - Cotton/Blended,2.59,1.81,37.39,2.41,0.74,3.15,1.07,2.08,0.40,1.68,-1.75,3.44,0.00,3.44,6.45,9.20,25.00,0.11,77.70
AksharChem (I),524598,AKSHARCHEM,Dyes And Pigments,324.80,4.94,64.74,1.69,0.07,1.76,3.17,-1.41,0.67,-2.08,-0.12,-1.97,0.00,-1.97,2.61,-3.04,8.03,-2.45,260.92
Akzo Nobel,500710,AKZOINDIA,Paints / Varnishes,2858.45,166.40,951.40,154.70,6.10,160.80,22.50,138.30,5.70,132.60,37.20,95.40,0.00,95.40,16.26,10.03,45.50,20.95,13017.46
Alacrity Sec.,535916,,Finance & Investments,92.90,9.61,91.41,2.77,0.42,-1.18,0.11,-1.29,0.38,-1.67,-0.01,-1.65,0.00,1.56,-3.86,-3.99,,0.74,224.45
Alan Scott Inds.,539115,,Textiles - Products,81.30,0.07,1.22,-0.04,-0.05,0.05,0.37,-0.32,0.21,-0.67,0.00,-0.46,-0.14,-0.67,-3.28,-43.44,1.83,-1.57,29.02
Alankit,531082,ALANKIT,Computers - Software - Medium / Small,21.08,3.56,148.18,8.26,2.08,10.34,2.47,7.87,0.13,7.74,2.13,4.71,0.00,5.60,5.57,3.78,14.30,0.21,571.57
Albert David,524075,ALBERTDAVD,Pharmaceuticals - Indian - Bulk Drugs & Formln,1339.50,8.36,81.42,9.59,0.01,9.60,2.30,7.30,0.11,7.19,3.46,3.73,0.00,3.73,11.78,4.58,5.71,6.54,764.81
Alchemist Corp.,531409,,Trading,12.70,-0.04,0.00,-0.09,0.00,-0.09,0.00,-0.09,0.00,-0.09,0.00,-0.09,0.00,-0.09,,,4.91,-0.18,6.24
Alembic,506235,ALEMBICLTD,Construction,113.20,11.67,37.12,13.44,-8.57,15.48,1.70,13.78,0.13,3.04,-1.66,58.86,-10.61,48.25,36.21,158.57,51.36,1.88,2906.77
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,913.75,266.32,1406.45,203.77,0.89,204.66,74.12,130.54,14.37,116.17,-36.43,152.60,0.00,152.60,14.49,10.85,39.31,7.76,17960.97
Alexander Stamps,511463,,Trading,14.60,0.00,0.15,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01,6.67,6.67,9.31,0.01,13.60
Alfa Ica (I),530973,,Miscellaneous,63.50,1.01,13.83,0.99,0.15,1.14,0.27,0.87,0.35,0.52,0.13,0.39,0.00,0.39,7.16,2.82,4.04,0.97,25.66
Alfa Transformer,517546,,Electric Equipment,93.36,0.68,7.24,0.44,0.24,0.68,0.27,0.41,0.35,0.06,-0.15,0.20,0.00,0.20,6.08,2.76,9.15,0.22,85.43
Alfavision Overs,531156,,Miscellaneous,11.55,-0.07,-0.58,-0.61,0.00,-0.61,0.02,-0.63,0.43,-1.06,0.00,-1.06,0.00,-1.06,,,3.15,-0.34,36.41
Alfred Herbert,505216,,Finance & Investments,1465.00,0.00,0.44,0.01,0.78,0.79,0.04,0.75,0.01,0.74,-0.04,0.78,0.00,0.78,2.27,177.27,0.77,10.11,112.81
Algoquant Fin,505725,,Finance & Investments,1211.00,6.29,0.28,-9.53,-0.14,-9.02,0.07,-9.09,1.07,-10.81,-4.08,-6.09,-0.65,-6.74,-3403.57,-2175.00,1.61,-8.39,973.16
Alicon Cast.,531147,ALICON,Castings & Forgings,1246.10,52.20,319.25,31.72,1.42,33.14,16.69,16.45,8.56,7.89,-1.81,9.70,0.00,9.70,9.94,3.04,8.06,6.02,2026.40
Alkali Metals,533029,ALKALI,Chemicals,151.70,2.77,26.90,3.30,0.23,3.62,1.10,2.52,1.18,1.25,0.27,1.05,-0.09,0.98,12.27,3.90,10.18,0.96,154.43
Alkem Lab,539523,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,4981.15,707.59,2902.60,353.25,-34.31,421.92,78.32,343.60,28.96,211.66,143.98,100.61,-102.98,67.68,12.17,3.47,23.91,5.94,59557.12
Alkosign,543453,,Printing & Stationery,115.00,8.60,12.27,1.89,,,,,,,,,,0.18,,,,0.33,82.74
Alkyl Amines,506767,ALKYLAMINE,Chemicals,2159.90,59.61,412.48,77.74,2.03,79.77,11.59,68.18,1.08,67.10,18.46,48.64,0.00,48.64,18.85,11.79,10.22,9.52,11043.82
All E Tech,,ALLETEC,Computers - Software - Medium / Small,252.80,5.54,23.77,2.54,1.90,4.65,0.26,4.39,0.00,4.18,1.08,3.29,-0.21,3.10,10.69,13.93,15.33,1.53,510.51
Allcargo Gati,532345,ACLGATI,Trading,111.85,6.69,415.67,11.42,1.11,18.27,18.07,0.20,7.31,-12.85,7.60,-14.51,-5.74,-20.45,2.75,-4.46,24.59,-1.23,1456.91
Allcargo Logist.,532749,ALLCARGO,Miscellaneous,60.83,100.28,3395.10,140.27,21.94,160.57,80.67,79.90,18.95,62.59,10.69,50.54,1.64,51.90,4.13,1.49,49.14,0.63,5978.26
Allcargo Termi,543954,ATL,Miscellaneous,50.38,29.30,183.74,26.39,8.12,34.51,12.41,22.10,6.75,15.35,2.75,12.60,0.00,12.60,14.36,6.86,,,1237.80
Alliance Integ.,534064,,Steel - Medium / Small,81.25,4.19,13.09,-0.58,108.23,-0.49,6.94,-7.43,33.69,67.02,0.00,-41.11,108.14,67.03,-4.43,-314.06,11.61,5.77,1069.66
Allied Digital,532875,ADSL,Computers - Software - Medium / Small,194.85,20.67,166.23,18.67,-46.83,18.69,4.40,14.29,1.02,-33.58,3.77,9.50,-46.85,-37.35,11.23,5.71,27.10,-6.81,1079.61
Allsec Tech.,532633,ALLSEC,Computers - Software - Medium / Small,1201.00,30.41,107.98,23.72,0.88,24.60,8.51,16.09,0.88,15.21,3.09,12.12,0.00,12.12,21.97,11.22,15.24,7.95,1830.31
Almondz Global,531400,ALMONDZ,Finance & Investments,137.65,3.75,26.63,2.91,3.87,6.78,0.60,6.18,1.44,4.74,0.71,4.03,0.00,4.03,10.93,15.13,15.53,1.56,381.08
Alok Industries,521070,ALOKINDS,Textiles - Processing,29.10,-5.73,1570.48,-69.70,8.22,-61.48,92.21,-153.69,143.35,-297.04,0.51,-297.55,0.00,-297.55,-4.44,-18.95,496.53,-0.60,14448.83
Alpa Laboratorie,532878,ALPA,Pharmaceuticals - Indian - Formulations,85.71,2.43,29.16,9.22,-0.69,8.53,0.53,8.00,0.04,7.96,3.31,4.65,0.00,4.65,31.62,15.95,21.04,2.21,180.33
Alpex Solar,,ALPEXSOLAR,Electric Equipment,958.00,14.19,,,,,,,,,,,,,,,,,2344.54
Alphageo (India),526397,ALPHAGEO,Miscellaneous,386.85,3.56,14.12,1.06,1.46,2.52,3.76,-1.24,0.07,-1.31,-0.28,-1.03,0.00,-1.03,7.51,-7.29,6.38,-1.62,246.20
Alphalogic Indu,543937,,Engineering,307.50,1.40,11.86,2.14,,,,,,,,,,1.49,,,,24.83,313.32
Alphalogic Tech.,542770,,Computers - Software - Medium / Small,267.00,1.58,8.61,1.83,0.10,1.93,0.02,1.91,0.16,1.75,0.45,1.30,0.00,1.30,21.25,15.10,11.29,0.28,1251.01
Alpine Housing,526519,,Construction,129.00,1.66,18.36,2.44,0.00,2.44,0.19,2.25,0.45,1.80,0.32,1.48,0.00,1.48,13.29,8.06,,0.85,223.44
Alps Industries,530715,ALPSINDUS,Textiles - Products,4.10,-0.26,1.52,-4.26,0.16,-4.10,0.00,-4.10,13.95,-18.05,0.00,-18.05,0.00,-18.05,-280.26,-1187.50,39.11,-4.61,16.03
Alstone Textiles,539277,,Trading,0.82,-0.08,0.00,-1.09,5.00,3.91,0.00,3.91,0.00,3.91,0.00,3.90,0.00,3.90,,,12.75,0.03,104.54
Alufluoride,524634,,Chemicals,500.95,6.91,36.84,8.11,0.37,8.47,1.96,6.51,0.77,5.75,1.58,4.16,0.01,4.17,22.01,11.29,7.82,5.33,391.79
Aluwind,,ALUWIND,Construction,67.50,,28.79,1.47,,,,,,,,,,0.62,,,,2.45,167.72
Amal,506597,,Chemicals,370.00,6.07,17.35,-0.37,0.80,0.43,2.27,-1.84,1.50,-3.34,0.60,-3.95,0.00,-3.95,-2.13,-22.77,9.43,-3.20,457.44
Amalgamated Elec,501622,,Miscellaneous,47.69,-0.01,0.00,-0.02,0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,1.39,-0.04,13.24
Amanaya Ventures,543804,,Trading,24.75,0.08,5.21,0.06,,,,,,,,,,0.04,,,,0.11,9.25
Amara Raja Ener.,500008,ARE&M,Auto Ancillaries,1635.20,434.89,2433.01,353.16,-24.78,376.03,123.79,252.24,8.14,196.45,55.47,174.10,-47.65,140.98,14.52,7.16,17.08,8.25,29928.33
Amarjothi Spg.,521097,,Textiles - Cotton/Blended,215.00,6.42,58.75,8.41,0.59,9.00,2.11,6.89,1.44,5.45,1.11,4.34,0.00,4.34,14.31,7.39,6.75,6.43,145.09
Amarnath Sec.,538465,,Finance & Investments,56.79,0.09,0.10,0.05,0.00,0.05,0.00,0.05,0.01,0.04,0.00,0.04,0.00,0.04,50.00,40.00,3.00,0.13,17.04
Amba Enterprises,539196,,Electric Equipment,238.00,1.90,66.68,2.45,0.01,2.46,0.15,2.31,0.07,2.24,0.53,1.71,0.00,1.71,3.67,2.56,6.33,1.35,301.31
Ambalal Sarabhai,500009,,Trading,47.14,2.53,44.44,3.35,5.71,9.06,0.92,8.14,0.99,7.15,1.44,5.71,0.00,5.71,7.54,12.85,76.63,0.75,361.27
Ambani Organics,,AMBANIORG,Chemicals,105.00,4.74,66.06,4.95,,,,,,,,,,1.11,,,,1.73,74.12
Ambar Protein,519471,,Solvent Extraction,144.20,3.82,90.00,0.83,0.14,0.97,0.31,0.66,0.60,0.06,0.07,-0.02,0.00,-0.02,0.92,-0.02,5.75,-0.03,82.92
Ambassador Intra,542524,,Trading,34.74,-0.06,0.20,-0.10,0.06,-0.04,0.00,-0.04,0.00,-0.04,-0.01,-0.03,0.00,-0.03,-50.00,-15.00,2.09,-0.14,7.26
Amber Enterp.,540902,AMBER,Electronics - Components,4503.15,78.50,3002.62,203.51,18.69,222.20,38.84,183.36,37.46,145.90,37.80,103.98,0.00,108.09,6.78,3.60,33.69,30.86,15172.79
Ambica Agarbat.,532335,AMBICAAGAR,Chemicals,25.83,1.73,35.16,3.23,1.88,5.11,-0.60,5.71,2.51,3.20,1.43,1.78,0.00,1.78,9.19,5.06,,1.04,44.36
Ambika Cotton,531978,AMBIKCO,Textiles - Cotton/Blended,1660.00,27.31,186.22,31.29,4.06,35.35,7.49,27.86,3.01,24.85,6.72,18.13,0.00,18.13,16.80,9.74,5.72,31.67,950.35
Ambition Mica,539223,,Miscellaneous,3.09,1.22,2.85,-3.80,0.01,-3.79,0.16,-3.95,0.14,-4.09,0.44,-4.53,0.00,-4.53,-133.33,-158.95,,-3.04,4.61
Ambitious Plasto,526439,,Trading,8.27,0.08,0.00,-0.04,0.00,-0.04,0.00,-0.04,0.00,-0.04,0.00,-0.04,0.00,-0.04,,,5.81,-0.07,4.80
Ambo Agritec,543678,,Solvent Extraction,96.38,,,,,,,,,,,,,,,,,,90.55
Ambuja Cements,500425,AMBUJACEM,Cement - North India,670.85,1732.10,7965.98,1239.03,141.62,1527.78,352.33,1175.45,39.43,988.89,225.59,738.01,-147.13,763.30,15.55,10.96,,3.25,165238.63
Amco India,530133,,Aluminium and Aluminium Products,58.10,0.29,33.53,-0.25,0.67,0.42,0.22,0.20,0.46,-0.26,0.00,-0.25,0.00,-0.25,-0.75,-0.75,4.11,-0.61,23.88
AMD Industries,532828,AMDIND,Packaging,72.20,3.80,113.83,18.25,0.14,18.39,3.70,14.69,3.80,10.89,2.87,8.01,0.00,8.01,16.03,7.04,19.17,4.18,138.41
Amerise BioScie,531681,,Finance & Investments,0.65,-0.06,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,,,6.61,0.00,4.29
Ameya Precision,,AMEYA,Engineering,119.50,1.36,15.36,1.65,0.03,0.80,0.20,0.60,0.02,0.58,0.00,0.58,0.00,1.15,11.61,8.75,,1.53,89.63
Amforge Inds.,513117,,Finance & Investments,11.82,-0.41,0.00,-0.38,0.78,0.40,0.08,0.32,0.04,0.28,0.00,0.28,0.00,0.28,,,2.88,0.19,17.01
Ami Organics,543349,AMIORG,Pharmaceuticals - Indian - Bulk Drugs,1299.85,26.51,186.38,40.85,-0.17,40.68,3.43,37.25,0.59,36.66,9.47,27.20,0.00,27.20,21.92,14.59,36.44,7.46,5317.11
Amiable Logistic,,AMIABLE,Miscellaneous,82.00,0.58,16.03,0.32,0.11,0.38,0.04,0.34,0.00,0.34,0.06,0.28,0.00,0.43,2.92,3.03,1.21,2.46,14.34
Amic Forging,544037,,Castings & Forgings,1289.00,,,,,,,,,,,,,,,,,,1351.96
Amin Tannery,541771,,Leather / Leather Products,2.28,0.75,14.80,0.91,0.00,0.91,0.21,0.70,0.49,0.21,0.07,0.14,0.00,0.14,6.15,0.95,10.80,0.01,24.62
Amines & Plast.,506248,AMNPLST,Chemicals,288.95,17.02,166.88,13.87,1.04,14.91,1.21,13.70,2.51,11.19,2.64,8.55,0.00,8.55,8.31,5.12,11.00,1.55,1589.79
Amit Internation,531300,,Trading,3.64,-0.05,0.00,-0.05,0.30,0.25,0.00,0.25,0.00,0.25,0.01,0.24,0.00,0.24,,,18.95,0.13,6.90
AMJ Land Holdin.,500343,AMJLAND,Construction,42.23,0.62,13.43,2.93,0.65,3.58,0.48,3.10,0.32,2.78,1.12,1.56,0.00,1.66,21.82,12.36,8.20,0.38,173.14
Amkay Products,544169,,Healthcare,74.50,,,,,,,,,,,,,,,,,,64.48
Amrapali Inds.,526241,,Trading,17.41,2.86,3640.41,1.30,2.77,4.07,0.60,3.47,3.66,-0.19,-0.01,-0.18,0.00,-0.18,0.04,0.00,,-0.04,89.51
Amraworld Agrico,531991,,Trading,1.04,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,12.03,0.00,12.51
Amrutanjan Healt,590006,AMRUTANJAN,Pharmaceuticals - Indian - Formulations,766.00,21.57,100.32,12.98,4.82,17.80,1.31,16.49,0.02,16.47,3.78,12.70,0.00,12.70,12.94,12.66,2.92,4.34,2214.53
Anand Rathi Wea.,543415,ANANDRATHI,Finance & Investments,3871.65,79.83,142.96,60.82,4.11,64.93,4.31,60.62,1.08,59.54,16.83,42.61,0.00,42.71,42.54,29.88,20.81,10.22,16194.44
Anand Rayons,542721,,Trading,47.20,1.51,85.73,2.63,0.05,2.68,0.04,2.64,0.70,1.94,0.00,1.94,0.00,1.94,3.07,2.26,14.98,1.29,70.72
Anant Raj,515055,ANANTRAJ,Construction,441.95,90.08,280.15,73.67,9.74,83.41,4.21,79.20,10.48,68.72,22.43,48.44,0.00,48.44,26.30,17.29,59.02,1.52,15109.86
Andhra Cements,532141,ACL,Cement - South India,97.33,4.58,0.00,-13.48,971.73,-13.38,11.80,-25.18,-109.64,1056.09,-65.92,150.38,971.63,1122.01,,,293.52,121.73,897.11
Andhra Paper,502330,ANDHRAPAP,Paper,579.20,109.63,590.16,228.62,-1.63,242.37,15.73,226.64,3.40,207.86,53.95,164.96,-15.38,153.90,38.74,27.95,39.77,38.70,2303.50
Andhra Petrochem,500012,,Chemicals,116.00,12.64,162.44,8.65,5.94,14.59,4.02,10.57,2.17,8.40,2.37,6.02,0.00,6.02,5.33,3.71,84.97,0.71,985.63
Andhra Sugars,590062,ANDHRSUGAR,Chlor Alkali / Soda Ash,116.25,14.87,539.00,53.26,8.41,64.05,17.11,46.94,0.65,43.91,10.16,34.04,-2.38,33.74,9.88,6.60,27.11,2.38,1575.61
Andrew Yule & Co,526173,,Diversified - Medium / Small,44.32,-21.31,81.14,-16.41,9.03,-6.16,1.97,-8.13,2.86,-12.21,-1.54,-4.64,-1.22,-5.86,-20.22,-5.72,97.79,-0.12,2167.02
Aneri Fincap,531252,,Finance & Investments,6.82,-0.21,1.50,-8.92,0.00,-8.92,0.00,-8.92,0.00,-8.92,0.00,-8.92,0.00,-8.92,-594.67,-594.67,3.01,-29.60,2.05
ANG Lifesciences,540694,,Pharmaceuticals - Indian - Bulk Drugs & Formln,53.40,-1.72,31.88,-11.60,9.20,-2.40,2.82,-5.22,1.11,-6.33,-1.30,-5.03,0.00,-5.03,-36.39,-15.78,10.37,-3.85,69.73
Angel Fibers,541006,,Textiles - Products,24.00,4.09,63.69,7.69,1.29,17.62,5.79,11.83,2.83,9.00,-1.74,10.74,0.00,2.49,16.70,10.98,25.00,1.00,60.00
Angel One,543235,ANGELONE,Finance & Investments,2554.85,397.96,825.74,385.73,5.29,391.08,8.93,382.15,20.54,361.55,94.64,266.97,-0.06,266.91,46.71,32.33,82.86,32.00,23008.49
ANI Integrated,,AISL,Miscellaneous,133.00,2.64,43.36,2.72,-0.01,2.73,0.11,2.62,0.41,2.19,0.36,1.85,-0.02,1.83,6.27,4.27,9.69,1.89,128.84
Anik Industries,519383,ANIKINDS,Construction,51.30,-0.03,15.83,0.00,1.71,1.71,0.27,1.44,1.44,0.00,0.03,-0.04,0.00,-0.04,0.00,-0.25,27.75,-0.01,142.36
Anjani Finance,531878,,Finance & Investments,13.48,0.13,-0.15,-0.11,0.06,-0.05,0.00,-0.05,0.12,-0.17,0.01,3.30,0.00,3.30,,,10.14,3.25,13.67
Anjani Foods,511153,,Food - Processing - Indian,44.06,0.99,11.22,0.78,0.00,0.78,0.40,0.38,0.17,0.21,0.05,0.16,0.00,0.16,6.95,1.43,5.59,0.08,123.14
Anjani Portland,518091,APCL,Cement - South India,202.00,11.49,132.95,2.05,0.73,2.78,13.40,-10.62,7.69,-18.31,-1.41,-16.75,0.00,-16.90,1.54,-12.71,25.29,-5.70,593.36
Anjani Synth.,531223,,Textiles - Processing,49.88,2.98,81.46,2.59,0.64,3.23,0.68,2.55,1.01,1.54,0.35,1.18,0.00,1.18,3.18,1.45,14.75,0.80,73.56
Anka India,531673,,Computers - Software - Medium / Small,15.49,-0.02,0.00,-0.09,0.05,-0.04,0.00,-0.04,0.00,-0.04,0.00,-0.04,0.00,-0.04,,,6.27,-0.05,13.54
Ankit Met.Power,532870,ANKITMETAL,Steel - Medium / Small,3.95,-94.46,197.17,-33.71,0.02,-33.69,9.44,-43.13,0.02,-43.15,0.00,-43.15,0.00,-43.15,-17.10,-21.88,,-3.06,55.73
Anlon Tech,,ANLON,Miscellaneous,560.00,3.23,19.69,3.53,0.18,2.40,0.05,2.35,0.47,1.88,0.62,1.25,0.00,2.05,23.32,13.13,0.01,3.66,350.30
Anmol India,542437,ANMOL,Trading,35.25,5.95,370.13,7.30,2.35,9.65,0.13,9.52,3.50,6.02,1.59,4.43,0.00,4.43,1.97,1.20,11.38,0.78,200.62
Anna Infrastruct,530799,,Construction,28.73,0.01,0.29,0.13,0.02,0.15,0.03,0.12,0.00,0.12,0.02,0.09,0.00,0.09,44.83,31.03,3.80,0.24,10.92
Annapurna Swadi.,,ANNAPURNA,Food - Processing - Indian,339.90,12.99,94.56,8.21,,,,,,,,,,4.27,,,,2.60,597.87
ANS Industries,531406,,Food - Processing - Indian,11.18,-0.13,0.00,-0.39,0.24,-0.15,0.44,-0.59,0.01,-0.60,-0.25,-0.35,0.00,-0.35,,,9.26,-0.38,10.35
Ansal Buildwell,523007,,Construction,123.90,17.16,4.56,2.00,0.98,2.98,-0.82,3.80,1.15,2.65,2.29,-1.10,0.00,-1.10,43.86,-24.12,7.38,-1.49,91.44
Ansal Housing,507828,,Construction,14.79,16.97,50.34,6.43,-0.27,14.73,0.42,14.31,14.85,-9.11,-1.93,1.39,-8.57,-7.18,12.77,2.76,59.39,-1.03,103.00
Ansal Properties,500013,ANSALAPI,Construction,9.50,33.31,296.48,-395.50,75.04,-318.98,4.32,-323.30,9.17,-333.95,-23.76,-308.71,-1.48,-310.19,-133.40,-104.13,78.70,-19.93,149.52
Antarctica,,ANTGRAPHIC,Packaging,1.50,-0.03,0.21,0.10,0.00,0.10,0.03,0.07,0.00,0.07,0.00,0.08,0.00,0.08,47.62,38.10,15.50,0.01,23.26
Antony Waste han,543254,AWHCL,Miscellaneous,546.25,44.15,201.77,32.42,6.90,39.32,12.69,26.63,8.73,17.90,5.51,9.56,0.00,12.38,16.07,6.14,14.14,3.38,1550.38
Anuh Pharma,506260,,Pharmaceuticals - Indian - Bulk Drugs,227.35,23.99,157.31,14.23,1.04,15.27,2.41,12.86,0.02,12.84,3.22,9.62,0.00,9.62,9.05,6.12,25.06,1.92,1139.31
Anupam Finserv,530109,,Finance & Investments,2.00,0.68,0.69,0.48,0.00,0.48,0.11,0.37,0.08,0.29,0.11,0.17,0.00,0.17,69.57,24.64,11.56,0.01,23.11
Anupam Rasayan,543275,ANURAS,Chemicals,766.45,79.08,479.96,117.30,24.26,141.56,18.53,123.03,20.26,102.77,30.13,56.68,0.00,72.64,24.44,15.13,100.25,5.28,8414.55
Anuroop Packagin,542865,,Packaging,23.34,2.20,5.15,1.28,0.07,1.35,0.14,1.21,0.37,0.84,0.19,0.66,0.00,0.66,24.85,12.82,,0.62,24.89
Anzen IYEP Trust,543655,ANZEN,Power Generation And Supply,101.80,56.41,62.65,53.06,0.18,53.24,49.16,4.08,15.61,-11.53,-2.62,-8.92,0.00,-8.92,84.69,-14.24,,-0.56,1608.44
Apar Inds.,532259,APARINDS,Electric Equipment,8570.00,404.97,4084.33,423.89,10.68,434.57,27.28,407.29,79.09,328.20,85.47,242.73,0.00,242.73,10.38,5.94,38.27,63.43,34424.25
