Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Aditya Consumer,540146,,Trading,83.50,0.97,45.97,2.96,0.12,3.82,0.99,2.83,0.43,2.40,0.08,2.32,0.00,0.94,8.15,5.11,14.63,0.64,122.19
Aditya Ispat,513513,,Steel - Medium / Small,10.50,1.12,19.33,1.13,0.03,1.16,0.24,0.92,0.59,0.33,0.15,0.17,0.00,0.17,5.85,0.88,5.35,0.32,5.61
Aditya Spinners,521141,,Textiles - Spinning - Synthetic / Blended,20.20,1.11,15.65,0.68,0.27,0.95,0.65,0.30,0.45,-0.15,1.23,-1.38,0.00,-1.38,4.35,-8.82,16.74,-0.82,33.82
Aditya Vision,540205,,Trading,4516.90,43.49,306.27,28.64,1.63,30.27,5.22,25.05,10.90,14.15,7.37,6.78,0.00,6.78,9.35,2.21,12.03,5.64,5811.56
Adjia Tech,543269,,Computers - Software - Medium / Small,45.49,0.07,0.14,0.12,,,,,,,,,,0.03,,,,0.34,4.00
Adline Chem Lab,524604,,Pharmaceuticals - Indian - Formulations,13.12,0.00,0.00,-0.08,0.07,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,5.85,-0.02,7.68
Ador Fontech,530431,,Electrodes - Welding Equipment,144.20,6.40,57.58,9.21,0.09,9.30,0.59,8.71,0.01,8.70,2.88,5.82,0.00,5.82,16.00,10.11,7.00,1.66,504.71
Ador Multi Prod.,523120,,Personal Care - Indian,34.45,-0.45,2.61,-2.33,0.04,-2.29,0.46,-2.75,0.06,-2.81,0.06,-2.88,0.00,-2.88,-89.27,-110.34,4.67,-6.16,16.10
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment,1409.75,20.83,235.48,31.78,1.90,33.02,3.05,29.97,0.69,29.94,7.39,22.07,0.66,22.55,13.50,9.37,13.60,16.58,1917.26
Adroit Info.,532172,ADROITINFO,Computers - Software - Medium / Small,18.60,2.40,4.54,-1.72,0.08,-1.64,0.59,-2.23,0.17,-2.40,-0.54,-1.86,0.00,-1.86,-37.89,-40.97,18.27,-0.37,40.31
Advait Infratech,543230,,Construction,1690.05,12.38,40.86,6.08,0.58,6.66,0.92,5.74,1.00,4.74,1.23,3.50,0.00,3.50,14.88,8.57,,3.43,1725.15
Advance Lifes.,521048,,Textiles - Jute - Yarn / Products,45.99,-0.05,1.51,0.00,0.80,0.80,0.00,0.80,0.57,0.23,0.00,0.23,0.00,0.23,0.00,15.23,,0.37,28.63
Advance Meter.,534612,,Electric Equipment,38.29,-1.12,4.72,-2.35,1.09,-1.70,1.47,-3.17,0.26,-2.99,0.01,-3.44,0.44,-3.00,-49.79,-72.88,8.03,-1.87,61.49
Advance Petroch.,506947,,Chemicals,288.00,0.35,7.97,0.15,-0.03,0.12,0.43,-0.31,0.18,-0.49,-0.08,-0.41,0.00,-0.41,1.88,-5.14,0.90,-4.56,25.92
Advance Syntex,539982,,Textiles - Spinning - Synthetic / Blended,7.30,-0.35,1.82,-0.41,1.15,-0.40,0.21,-0.61,0.06,0.47,0.20,-0.67,1.14,0.27,-22.53,-36.81,11.10,0.24,8.10
